,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
Caspase 9 (Ab-196),0.933,1.272,0.716,0.381,0.407,0.406,0.301,0.637,0.719,0.476,0.723
Caspase 3 (Ab-150),0.946,0.996,1.104,1.02,0.803,0.862,0.831,1.231,1.145,1.434,1.127
Catalase (Ab-385),0.485,0.951,0.321,0.604,0.565,0.48,0.437,0.515,0.67,0.814,0.478
Catenin beta (Ab-654),0.976,1.001,0.81,0.912,0.77,0.855,0.731,1.135,0.789,1.055,1.014
Fos (Ab-374),0.855,1.276,0.861,1.227,0.909,1.165,1.094,0.921,1.24,1.168,1.188
Gab2 (Ab-623),0.848,1.244,1.025,0.716,0.891,0.905,0.763,1.079,1.355,1.122,1.116
MAPKAPK2 (Ab-272),0.961,1.051,0.94,1.147,1.008,0.986,1.117,0.923,1.042,1.006,1.046
MEF2C (Ab-396),0.983,1.012,0.974,1.058,0.98,0.991,0.912,0.927,0.829,1.107,1.136
MKP-1/2 (Ab-296/318),0.877,1.055,0.915,0.724,0.67,0.746,0.771,0.836,0.939,0.893,0.993
NFAT3 (Ab-168/170),0.819,0.906,0.882,1.323,1.163,1.106,1.193,0.921,0.87,1.032,1.006
SREBP-1 (Ab-439),0.912,1.045,1.188,0.726,0.6,0.659,0.556,1.076,1.163,1.123,0.951
Tuberin/TSC2 (Ab-981),0.903,0.948,0.776,0.936,0.803,0.804,0.854,0.957,0.938,0.914,0.962
MKK4/SEK1 (Ab-80),1.015,1.145,0.879,0.663,0.585,0.646,0.607,0.886,0.795,0.934,1.018
Ephrin B2 (Ab-330),0.978,1.123,0.87,0.594,0.598,0.62,0.58,0.995,1.07,0.919,0.992
p130Cas (Ab-410),1.034,1.146,1.159,1.354,1.228,1.071,1.179,0.993,0.991,1.029,1.018
PLCG1 (Ab-771),0.768,0.92,1.075,1.081,1.061,1.368,1.276,1.121,0.824,1.133,0.782
PLCG1 (Ab-783),0.903,0.983,0.927,1.174,0.88,0.823,0.721,1.054,0.958,1.141,1.06
LYN (Ab-507),0.166,0.533,0.659,0.262,0.147,0.324,0.113,0.616,0.364,0.374,0.864
PLCG2 (Ab-753),0.956,1.448,1.455,1.057,0.935,0.828,0.944,1.388,1.108,1.571,1.063
ATF1 (Ab-63),0.741,0.803,0.919,1.395,1.134,1.248,1.068,1.024,0.845,0.955,0.759
CD19 (Ab-531),1.008,0.999,1.006,1.452,1.127,1.171,1.105,1.112,0.822,0.996,0.913
ATPase (Ab-16),0.951,1.055,1.033,0.822,0.885,0.895,0.91,1.263,1.11,1.211,1.099
FGFR1 (Ab-766),0.723,0.887,0.804,0.893,0.663,0.824,0.788,0.973,0.728,0.873,0.75
AKT1 (Phospho-Thr308) ,1.056,1.05,1.318,1.598,1.134,1.145,1.511,0.826,0.928,0.968,1.099
PTEN (Phospho-Ser380/Thr382/Thr383) ,1.008,1.179,1.06,1.523,0.978,1.211,1.32,0.816,0.737,0.708,0.869
P95/NBS1 (Phospho-Ser343) ,0.99,1.016,1.077,1.081,0.991,1.058,0.972,0.712,0.885,0.791,0.895
P73 (Phospho-Tyr99) ,1.127,1.028,1.236,1.757,1.558,1.601,1.701,0.892,1.067,0.733,0.742
FAK (Phospho-Tyr861) ,1.056,1.229,1.314,1.878,1.811,1.71,1.656,1.103,1.22,0.975,1.022
Integrin beta-3 (Phospho-Tyr773) ,1.094,1.174,1.213,1.339,1.194,1.398,1.312,0.987,1.042,1.027,1.097
Chk2 (Phospho-Thr68) ,1.164,1.169,1.428,1.887,1.627,1.795,1.845,1.006,1.073,1.076,1.07
PTEN (Phospho-Ser370) ,0.798,1.004,1.242,0.961,0.772,0.926,0.876,0.856,0.92,1.036,0.97
Ezrin (Phospho-Tyr353) ,0.962,0.892,1.189,1.104,0.999,1.038,0.992,1.051,0.987,1.06,1.012
BCL-2 (Phospho-Thr56) ,0.829,0.94,1.103,1.064,1.2,1.108,1.65,1.038,0.946,0.952,0.99
BCL-2 (Phospho-Ser70) ,0.932,0.797,0.845,1.033,1.15,0.847,1.279,1.377,1.011,1.067,0.929
BCL-XL (Phospho-Ser62) ,1.168,1.024,0.601,0.702,0.661,0.689,0.454,0.78,0.822,0.732,0.831
BAD (Phospho-Ser112) ,1.013,0.909,1.047,1.305,1.023,1.02,1.448,1.027,0.901,1.014,0.924
BAD (Phospho-Ser136) ,0.856,0.839,0.883,1.007,1.118,1.006,1.195,0.962,0.753,1.02,0.845
BAD (Phospho-Ser155) ,1.018,1.03,1.037,1.33,1.142,1.311,1.06,0.979,0.818,1.038,0.862
Estrogen Receptor-alpha (Phospho-Ser104),1.051,1.084,0.908,1.685,1.304,1.424,1.317,1.035,0.805,0.934,0.902
Estrogen Receptor-alpha (Phospho-Ser106),0.921,0.933,0.85,1.047,0.996,1.004,0.885,1.102,0.962,0.924,0.928
Estrogen Receptor-alpha (Phospho-Ser118),0.876,0.96,0.797,1.497,1.101,1.087,1.175,0.846,0.739,0.978,0.943
Estrogen Receptor-alpha (Phospho-Ser167),1.052,1.095,1.07,1.153,1.076,1.102,1.083,1.738,1.005,0.93,0.904
Synuclein alpha (Phospho-Tyr125) ,1.113,1.122,1.085,1.628,1.579,1.751,1.389,0.797,0.907,0.88,1.079
Tau (Phospho-Thr212) ,1.175,1.157,1.366,1.856,1.384,1.723,1.246,1.082,0.958,0.921,1.054
Connexin 43 (Phospho-Ser367) ,0.95,1.091,1.165,1.31,1.277,1.413,1.161,0.99,0.91,0.968,0.994
DAB1 (Phospho-Tyr232) ,0.991,1.09,1.253,1.245,1.096,1.313,1.261,0.785,1.021,1.012,1.051
NFkB-p65 (Phospho-Ser311) ,1.251,1.137,1.281,0.956,0.889,0.964,0.784,0.717,0.886,0.605,0.676
GluR1 (Phospho-Ser849) ,0.958,0.914,1.327,1.679,1.325,1.335,1.127,0.931,1.057,0.939,0.963
GluR1 (Phospho-Ser863) ,1.075,1.319,1.254,1.791,1.256,1.619,1.595,1.054,1.116,1.044,1.108
HSF1 (Phospho-Ser303) ,0.971,0.973,1.138,1.42,1.194,1.237,2.067,0.931,1.014,0.977,0.977
EGFR (Phospho-Tyr1110) ,0.925,1.18,1.024,1.123,1.043,1.009,1.035,0.798,0.812,1.043,1
MARCKS (Phospho-Ser163) ,0.999,0.953,1.061,1.521,1.175,1.227,0.842,0.934,0.847,0.999,0.912
Merlin (Phospho-Ser518) ,0.881,0.947,1.003,1.182,1.247,1.044,1.238,1.103,0.932,1.196,0.983
Synapsin (Phospho-Ser9) ,1.03,1.021,1.115,1.843,2.121,1.642,1.367,1.056,0.847,1.154,0.991
Histone H2A.X (Phospho-Ser139) ,0.887,0.828,0.945,0.915,0.655,0.734,0.755,0.898,0.804,0.981,0.852
P70S6K (Phospho-Ser411) ,1.019,1.055,1.083,1.275,1.194,1.163,1.124,1.089,0.945,1.022,0.94
Tau (Phospho-Ser422) ,1.03,0.997,1.087,1.09,1.171,1.059,0.883,1.008,0.909,1.048,0.93
Cortactin (Phospho-Tyr421) ,1.087,1.129,0.882,1.971,1.702,1.85,1.978,1.169,0.762,0.836,0.865
Cortactin (Phospho-Tyr466) ,0.933,0.785,1.028,1.822,1.399,1.551,1.714,0.994,0.829,0.983,0.91
CREB (Phospho-Ser129) ,0.828,1.032,0.843,1.11,0.956,1.076,1.167,1.108,0.993,0.949,0.889
DAB1 (Phospho-Tyr220) ,0.983,0.947,0.925,1.539,1.172,1.116,1.035,1.023,0.807,0.807,0.832
P73 (Ab-99),0.891,1.317,1.394,0.984,1.027,0.987,1.353,1.107,1.323,0.909,0.87
FAK (Ab-861) ,1.005,1.234,1.076,2.346,1.95,2.022,2.143,0.942,1.064,1.096,1.199
VEGFR2 (Ab-1175) ,1.012,0.957,1.318,1.15,1.049,1.164,1.283,0.957,1.089,0.999,0.952
VEGFR2 (Ab-1214) ,0.991,1.191,0.904,0.576,0.451,0.484,0.562,0.829,0.743,0.504,0.867
VEGFR2 (Ab-951) ,3.043,2.647,2.463,2.432,0.993,0.88,1.182,0.723,2.039,1.075,3.087
IGF1R (Ab-1161) ,1.014,1.053,1.299,1.108,0.832,0.891,0.87,1.054,1.335,1.31,1.199
IGF1R (Ab-1165/1166) ,0.96,1.047,1.351,0.965,0.812,0.886,0.901,1.08,1.363,1.339,1.178
Integrin beta-3 (Ab-773) ,1.06,1.183,1.405,1.295,1.53,1.412,1.214,1.236,1.321,1.183,1.071
p53 (Ab-6) ,0.987,1.056,1.217,0.991,0.785,0.816,0.832,1.087,1.122,1.331,1.073
p53 (Ab-9) ,1.003,1.175,1.151,0.996,0.744,0.818,0.82,1.183,1.079,1.258,1.108
p53 (Ab-15) ,0.935,1.009,1.201,0.994,0.815,0.848,0.835,1.172,1.145,1.382,1.078
p53 (Ab-18) ,0.882,0.924,1.157,0.848,0.683,0.719,0.742,1.135,1.036,1.094,0.945
Chk2 (Ab-68) ,0.916,1.136,0.873,0.507,0.334,0.346,0.391,0.901,0.831,0.566,0.785
p53 (Ab-33) ,0.92,0.97,0.956,0.964,0.878,0.86,0.918,1.124,0.928,1.03,0.887
p53 (Ab-37) ,1.039,1.075,1.07,1.153,0.962,1.011,0.971,1.042,0.901,1.139,1.094
p53 (Ab-46) ,0.917,0.99,0.927,0.964,0.706,0.803,0.887,1.132,0.943,1.124,0.991
p53 (Ab-315) ,0.801,0.967,0.546,0.626,0.494,0.583,0.383,1.009,1.056,0.342,0.46
Tau (Ab-356) ,0.983,0.165,0.726,0.439,0.322,0.376,0.329,0.768,0.392,0.271,0.477
Tau (Ab-396) ,0.918,0.911,0.845,0.674,0.64,0.778,0.448,0.845,0.711,0.616,0.727
Dok-1 (Ab-398) ,0.931,1.247,1.123,1.441,1.725,1.583,2.387,0.924,1.119,1.146,1.264
Dok-2 (Ab-299) ,0.879,1.107,1.032,1.832,2.015,1.534,2.104,0.878,1.019,0.894,1.029
eIF2A (Ab-51) ,0.965,0.925,1.028,1.576,1.282,1.336,1.351,0.616,0.883,0.88,0.961
PKR (Ab-446) ,0.884,1.078,1.246,1.315,1.554,1.597,1.713,1.111,1.312,1.028,0.94
GAP43 (Ab-41) ,0.971,1.035,1.16,0.733,0.839,0.833,0.759,0.89,1.142,0.835,0.95
Integrin beta-3 (Ab-785) ,0.956,0.958,1.084,1.021,0.858,0.942,0.961,1.067,1.233,1.147,1.015
Ret (Ab-905) ,0.949,1.152,1.203,1.102,1.059,1.015,1.228,1.132,1.173,1.137,0.959
P70S6K (Ab-424) ,1.115,1.167,1.214,1.276,1.279,1.373,1.334,0.934,1.131,1.164,1.001
Synuclein alpha (Ab-133) ,0.996,0.938,1.078,1.551,1.363,1.506,1.761,0.979,0.916,1.037,0.957
CaMK2A (Ab-286) ,1.232,1.274,0.944,0.999,0.62,0.753,0.915,0.789,0.744,0.834,0.892
BIM (Ab-69/65) ,0.987,1.041,1.133,1.065,0.938,0.902,1.035,1.193,1.101,1.378,1.03
CPI17 alpha (Ab-38) ,0.963,1.076,1.29,1.031,1.159,1.071,1.108,1.086,1.119,1.398,1.086
PKR (Ab-451) ,0.915,0.938,1.056,0.922,0.808,0.873,0.932,1.22,1.121,1.205,0.92
Gab1 (Ab-627) ,0.84,0.939,0.958,0.937,0.877,0.792,0.773,0.801,0.799,0.84,0.739
GluR2 (Ab-880),1.036,1.177,0.728,0.58,0.421,0.44,0.435,0.654,0.669,0.603,0.849
MARCKS (Ab-158),1.056,1.049,0.964,1.149,0.944,0.91,0.914,1.163,0.939,1.113,1.046
MEK1 (Ab-291) ,0.857,0.971,0.873,0.716,0.65,0.589,0.506,0.899,0.719,0.766,0.799
NMDAR1 (Ab-897) ,0.888,1.085,1.06,1.077,1.003,0.95,1.021,1.279,1.017,1.088,0.98
PKC delta (Ab-645) ,1.362,0.992,0.877,2.335,1.733,1.969,1.754,1.284,0.737,1,0.984
Tyrosine Hydroxylase (Phospho-Ser8),0.848,1.221,1.125,1.888,0.878,1.016,1.371,1.283,1.207,1.201,1.029
VEGFR1 (Phospho-Tyr1333),0.688,1.021,1.257,1.292,0.869,1.303,1.046,0.865,1.031,0.869,0.845
VEGFR2 (Phospho-Tyr1059),0.815,0.982,1.136,0.948,0.931,1.04,0.842,1.054,1.118,1.162,1.026
WASP (Phospho-Tyr290),0.908,1.24,1.191,1.543,1.74,1.748,1.194,1.114,1.39,1.313,1.021
Zap-70 (Phospho-Tyr292),0.895,1.192,1.072,1.411,1.221,0.982,1.343,0.987,1.079,0.984,1.044
Zap-70 (Phospho-Tyr315),0.874,1.039,1.05,0.813,0.65,0.704,0.662,0.995,1.231,1.084,1.05
AKT1 (Phospho-Tyr474),0.836,1.114,1.047,0.983,0.762,0.852,0.742,1.159,1.033,1.008,0.992
AKT1 (Phospho-Ser246),0.9,0.865,1.003,1.117,1.072,0.976,0.836,1.075,0.951,1.069,0.868
AKT1 (Phospho-Thr72),0.955,1.196,1.226,0.955,0.957,0.943,0.892,1.166,1.33,1.237,0.959
c-Abl (Phospho-Tyr245),0.946,1.146,1.114,1.142,1.068,1.155,0.934,1.282,1.127,1.304,0.981
CDC25C (Phospho-Thr48),0.879,0.967,0.978,1.293,1.079,1.154,1.13,1.176,1.008,1.277,0.996
Chk1 (Phospho-Ser296),0.94,1.024,0.861,1.106,0.91,1.043,1.164,1.127,0.893,1.327,1.096
Raf1 (Phospho-Ser296),1.063,0.87,1.033,1.449,1.25,1.396,1.347,1.211,1.123,1.063,1.031
Cyclin B1 (Phospho-Ser147),1.022,1.021,0.874,1.444,1.047,1.162,1.108,1.128,0.835,0.966,0.863
Cyclin E1 (Phospho-Thr77),0.936,1.205,0.585,1.619,1.458,1.147,1.368,1.118,0.739,0.833,0.997
eIF4B (Phospho-Ser422),0.868,1.007,1.027,1.142,0.96,0.779,0.86,1.21,0.985,1.037,0.994
eIF4G (Phospho-Ser1108),0.976,0.772,0.894,1.521,1.263,1.222,1.001,1.203,0.959,1.008,0.93
IRS-1 (Phospho-Ser794),0.823,0.9,0.991,1.472,1.398,1.227,1.401,1.169,0.783,0.857,0.812
LAT (Phospho-Tyr171),1.029,1.119,1.038,1.2,0.951,1.022,0.888,1.154,0.889,0.834,0.924
P70S6K-beta (Phospho-Ser423),0.839,1.236,0.93,0.988,0.694,0.736,0.7,1.096,1.024,1.285,1.27
PAK1 (Phospho-Ser204),0.928,1.127,1.027,0.902,0.672,0.761,0.703,0.969,1.072,1.047,1.104
PAK2 (Phospho-Ser192),0.859,1.062,0.837,0.993,1.035,1.159,0.991,0.974,0.963,0.956,0.999
PAK3 (Phospho-Ser154),0.831,0.886,1.327,1.681,1.579,1.657,1.353,0.974,0.91,0.949,0.925
PKC beta/PKCB (Phospho-Ser661),1.1,1.268,1.319,1.08,0.805,0.969,0.849,1.18,1.393,1.365,1.359
PKC delta (Phospho-Tyr64),0.864,1.101,0.977,0.959,0.778,0.808,0.839,1.043,1.164,1.051,1.019
RSK1/2/3/4 (Phospho-Ser221/227/218/232),0.87,1.133,0.96,0.878,0.855,0.76,0.791,1.119,1.282,1.166,0.954
Src (Phospho-Ser75),1.055,1.219,1.06,1.12,0.932,0.994,0.983,0.946,1.108,1.081,1.08
SLP-76 (Phospho-Tyr128),0.874,0.764,1.078,1.061,1.125,1.211,1.166,0.973,0.824,1.028,1.016
LCK (Phospho-Ser59),0.932,1.145,1.124,0.998,0.889,0.934,0.924,1.13,1.14,1.272,1.033
Fos (Phospho-Thr232),1.02,1.106,0.995,1.319,1.4,1.12,1.576,1.039,1.003,0.947,0.929
Src (Phospho-Tyr216),0.925,0.902,0.912,1.144,1.216,1.206,1.146,1.226,0.893,1.105,1.078
Gab2 (Phospho-Ser159),0.916,0.978,0.952,0.824,0.704,0.712,0.718,1.176,1.06,1.089,0.913
Pyk2 (Phospho-Tyr579),0.933,0.98,1.049,0.973,0.777,0.819,0.799,1.287,1.076,1.12,1.032
GRK2 (Phospho-Ser685),0.818,1.053,0.968,0.868,0.659,0.702,0.75,0.938,0.779,0.911,0.972
BRCA1 (Phospho-Ser1457),1.06,1.044,1.093,1.154,1.247,1.088,1.08,1.255,1.075,1.134,1.113
Cyclin C (Phospho-Ser275),0.882,0.994,0.956,0.802,0.661,0.637,0.831,1.23,0.949,1.018,0.946
Gab2 (Phospho-Tyr643),1.076,1.128,0.543,1.034,0.537,0.645,0.605,0.912,0.601,1.018,1.258
MAPKAPK2 (Phospho-Ser272),0.916,1.005,0.973,0.741,0.583,0.597,0.572,1.165,1.021,0.916,0.857
HER2 (Phospho-Thr686),0.858,1.178,1.055,1.15,0.777,0.839,0.907,0.924,1.155,1.198,1.209
NFkB-p105/p50 (Ab-927),0.92,1.032,0.605,0.419,0.254,0.286,0.357,0.692,0.613,0.607,1.033
Shc (Ab-427),1.461,1.113,1.014,1.156,0.742,0.734,0.909,0.653,1.084,0.679,1.217
Smad1 (Ab-465),0.962,0.995,1.074,1.01,1.312,1.122,0.935,1.197,1.205,1.042,1.032
Smad2 (Ab-467),0.834,0.999,0.922,0.745,0.634,0.658,0.638,0.858,1.133,1.055,1.012
Smad3 (Ab-425),0.943,1.142,0.995,1.033,0.859,0.902,0.846,0.881,1.135,1.041,0.952
FAS (Phospho-Tyr291),0.988,1.131,1.145,0.947,0.724,0.796,0.79,1.126,1.215,1.379,1.253
ACC1 (Ab-80),0.753,0.69,0.599,0.452,0.416,0.47,0.411,0.733,0.563,0.568,0.74
Caspase 6 (Ab-257),0.979,0.97,0.98,0.732,0.583,0.661,0.686,1.04,0.986,0.897,0.919
Caspase 9 (Ab-125),0.901,0.965,0.979,0.898,0.751,0.822,0.814,1.054,0.892,1.054,0.995
c-PLA2 (Ab-505),0.844,1.045,0.984,0.912,0.876,0.942,0.88,1.137,1.098,1.084,0.957
EEF2 (Ab-56),0.888,0.9,0.647,0.542,0.363,0.419,0.466,0.781,0.666,0.677,0.889
HSL (Ab-554),0.939,1.193,0.708,1.073,1.073,1.151,0.97,0.957,0.74,0.824,0.905
Pyk2 (Ab-881),0.91,0.384,0.312,0.668,0.378,0.398,0.471,0.606,0.41,0.415,0.6
Pyk2 (Ab-580),0.804,0.883,0.701,0.697,0.844,0.589,0.886,1.033,1.199,0.878,0.784
SRF (Ab-99),0.896,1.023,0.593,0.633,0.465,0.532,0.522,0.876,0.684,0.697,0.826
STAT2 (Ab-690),0.936,1.186,1.022,1.094,0.988,0.905,0.941,1.003,0.969,1.106,1.126
SYK (Ab-348),0.912,0.895,0.879,0.96,0.647,0.715,0.84,1.111,0.928,1.079,1.048
SYK (Ab-525),0.731,1.203,0.714,0.656,0.471,0.505,0.69,0.775,0.628,0.509,0.947
CD227/mucin 1 (Ab-1243),0.843,1.409,1.397,1.029,1.15,1.139,1.035,1.306,1.824,1.133,1.088
CD4 (Ab-433),0.934,1.228,0.856,1.049,1.128,1.5,0.838,1.725,1.046,1.288,1.244
CDC25A (Ab-124),0.883,1.247,1.229,1.109,0.835,0.924,0.912,0.931,1.2,1.326,1.188
CDC25B (Ab-353),0.944,1.286,1.33,1.106,0.977,1.058,1.132,1.091,1.491,1.195,1.164
CDK7 (Ab-170),0.869,0.969,1.002,0.871,0.731,0.902,0.732,0.948,1.164,0.995,0.965
Chk1 (Ab-286),0.826,1.057,1.111,0.555,0.561,0.591,0.561,0.959,1.233,0.772,0.847
Met (Ab-1003),0.892,0.931,0.973,0.871,0.717,0.691,0.798,1.053,1.13,0.978,1.565
Cyclin D1 (Ab-90),0.893,1.104,1.165,0.654,0.624,0.699,0.618,1.115,1.297,1.064,0.993
Cyclin E2 (Ab-392),0.879,1.012,1.165,0.752,0.68,0.716,0.765,1.24,1.231,1.157,1.006
Keratin 18 (Ab-52),0.906,1.041,1.222,0.939,0.757,0.803,0.745,1.2,1.281,1.295,1.041
Keratin 8 (Ab-432),0.942,1.172,1.137,0.763,0.68,0.727,0.641,1.203,1.306,1.089,0.993
Catenin delta-1 (Ab-228),0.911,1.08,1.052,0.79,0.628,0.732,0.697,1.037,0.989,1.081,0.931
Raf1 (Ab-43),1.103,1.143,0.685,0.943,0.701,0.698,0.637,0.955,1.001,0.988,1.403
DNA-PK (Ab-2647),1.084,1.145,1.061,0.994,0.854,0.833,0.813,1.118,1.015,1.162,1.012
DNA-PK (Ab-2638),0.915,0.967,0.936,0.646,0.527,0.556,0.515,0.96,0.831,0.795,0.828
DNA-PK (Ab-2056),0.846,1.038,1.099,0.909,0.866,0.795,0.841,1.259,1.115,1.149,1.042
EGFR (Ab-1069),0.837,1.032,1.139,0.827,0.711,0.712,0.667,1.24,1.153,1.123,1.027
ERK3 (Ab-189),0.894,0.969,1.111,0.757,0.594,0.61,0.589,1.14,0.992,0.95,0.84
FAK (Ab-910),0.981,1.123,0.6,0.416,0.286,0.363,0.32,0.74,0.645,0.534,0.776
AurA (Phospho-Ser342),0.857,1.102,0.971,1.2,0.841,0.844,1.401,1.119,1.048,1.126,1.156
Lamin A/C (Ab-392),1.028,1.311,0.905,0.476,0.361,0.416,0.583,1.001,1.214,0.732,0.996
MITF (Ab-73),0.824,1.139,0.99,0.575,0.49,0.487,0.491,0.993,0.952,0.704,0.881
PLCG2 (Ab-1217),1.012,1.182,0.913,0.874,0.692,0.816,0.705,0.859,0.989,0.972,1.173
PLK1 (Ab-210),0.851,0.979,0.951,0.631,0.585,0.631,0.657,0.737,0.881,0.711,0.921
PPAR-BP (Ab-1457),0.874,1.013,0.979,1.045,0.814,0.924,0.909,1.152,1.145,1.173,0.975
PPAR-gamma (Ab-112),0.928,1.139,0.87,0.421,0.382,0.449,0.407,0.769,0.791,0.457,0.555
WAVE1 (Ab-125),0.906,1.224,1.289,0.905,0.815,0.871,0.891,1.099,1.29,1.275,1.114
XIAP (Ab-87),0.975,1.163,1.238,0.931,0.878,0.882,0.815,1.46,1.397,1.125,0.955
ATP-Citrate Lyase (Ab-454),0.934,1.112,0.992,0.957,0.9,0.848,1.003,1.129,1.083,1.188,1.073
Mst1/Mst2 (Ab-183),0.845,1.205,1.219,0.95,0.764,0.82,0.795,1.52,1.296,1.27,1.036
Myosin regulatory light chain 2 (Ab-18),0.89,1.167,0.953,0.766,0.782,0.823,0.819,0.94,0.852,0.909,0.914
p130Cas (Ab-165),0.884,1.059,1.22,0.944,0.879,0.928,0.973,1.407,1.321,1.23,1.076
PP1 alpha (Ab-320),1.017,1.116,0.978,0.829,0.599,0.613,0.689,1.064,0.918,1.07,1.066
TLK1 (Ab-764),1.097,1.909,1.041,1.453,1.361,1.423,1.439,0.736,1.139,0.636,1.015
CK2-b (Ab-209),0.868,0.994,1.171,0.845,0.659,0.706,0.691,1.16,1.019,1.006,0.916
EPHA2/3/4 (Ab-588/596),0.89,0.97,0.658,0.875,0.65,0.712,0.726,0.956,0.854,0.856,0.905
EPHB1/2 (Ab-594/604),0.89,0.988,1.018,0.955,0.721,0.75,0.812,1.167,0.956,1.129,0.97
Ephrin B1 (Ab-317),0.892,1.085,0.936,1.021,1.317,1.335,1.467,1.201,0.999,0.905,0.902
Progesterone Receptor (Phospho-Ser190) ,1.389,1.687,1.565,2.257,2.582,3.142,2.261,0.987,1.535,1.068,1.159
HER2 (Phospho-Tyr877) ,0.94,1.145,1.179,1.154,1.135,1.212,1.064,1.045,1.199,1.304,1.191
HER2 (Phospho-Tyr1221/Tyr1222) ,0.978,1.125,1.221,1.137,1.328,1.144,1.472,0.823,1.086,0.962,0.994
HER2 (Phospho-Tyr1248) ,0.962,1.139,1.092,1.135,1.175,1.198,1.743,0.898,1.145,1.12,1.157
EGFR (Phospho-Ser1070) ,0.933,1.165,1.224,1.376,1.773,1.283,1.493,1.018,1.185,0.835,0.664
EGFR (Phospho-Tyr1092) ,0.964,1.116,1.076,1.383,1.675,1.53,1.673,0.787,1.101,1.03,0.994
G3BP-1 (Phospho-Ser232) ,1.011,0.943,1.072,1.642,1.974,1.883,1.86,0.847,0.984,0.741,0.847
ICAM-1 (Phospho-Tyr512) ,0.897,1.008,1.018,1.568,2.319,2.236,2.488,0.827,1.005,1.009,0.941
VEGFR2 (Phospho-Tyr1175) ,0.876,1.364,1.504,1.364,2.137,1.953,2.57,1.274,1.18,1.259,1.205
VEGFR2 (Phospho-Tyr1214) ,1.149,1.275,1.189,1.086,1.274,1.346,1.2,0.916,1.121,0.782,0.834
VEGFR2 (Phospho-Tyr951) ,1.159,1.623,1.579,1.594,2.167,2.019,1.737,1.385,1.538,0.94,0.959
IGF1R (Phospho-Tyr1161) ,0.861,0.916,1.088,1.093,0.962,1.011,1.251,1.072,1.045,1.156,0.954
IGF1R (Phospho-Tyr1165/1166) ,0.964,1.078,1.083,1.846,2.5,2.258,2.646,1.081,1.08,1.158,0.973
Paxillin (Phospho-Tyr118) ,0.859,1.111,0.992,1.024,1.06,0.96,1.289,1.184,0.973,1.139,0.971
Caveolin-1 (Phospho-Tyr14) ,1.08,1.126,1.241,1.459,1.642,1.475,1.29,1.224,1.103,0.76,0.857
Src (Phospho-Tyr418) ,0.793,0.54,0.337,0.328,0.221,0.232,0.283,0.668,0.356,0.263,0.446
p53 (Phospho-Ser6) ,0.96,0.962,0.946,1.25,0.984,1.088,1.089,0.805,0.848,0.702,0.764
p53 (Phospho-Ser9) ,1.033,1.034,1.01,1.116,0.988,1.113,1.103,1.051,0.86,0.905,0.865
p53 (Phospho-Ser15) ,0.947,0.807,0.818,1.035,0.916,1.047,1.008,0.86,0.694,0.66,0.883
DARPP-32 (Phospho-Thr34) ,1.065,1.104,0.951,0.994,1.133,1.164,0.973,0.964,1.105,0.995,0.98
Dok-1 (Phospho-Tyr362) ,0.935,1.182,1.127,1.13,2.085,1.67,1.316,1.072,1.144,0.99,0.992
Dok-1 (Phospho-Tyr398) ,0.952,1.066,1.196,1.259,1.459,1.481,1.434,0.925,1.189,1.02,0.991
Dok-2 (Phospho-Tyr299) ,0.932,1.076,1.194,1.135,1.2,1.15,1.469,0.914,1.129,1.124,1.191
eIF2A (Phospho-Ser51) ,0.919,1.043,1.075,0.984,1.184,1.131,1.544,0.843,1.002,1.02,0.954
PKR (Phospho-Thr446) ,0.974,1.102,1.05,1.211,1.391,1.356,1.217,0.914,1.106,1.095,1.013
GAP43 (Phospho-Ser41) ,0.958,1.037,1.09,1.001,1.078,1.004,1.208,0.85,1.068,1.165,1.114
Integrin beta-3 (Phospho-Tyr785) ,0.91,1.009,0.948,1.037,1.264,1.219,1.567,0.924,1.023,0.926,1.004
Ret (Phospho-Tyr905) ,0.965,1.023,1.089,1.453,1.669,1.788,1.769,1.058,1.142,1.218,1.144
P70S6K (Phospho-Ser424) ,1.133,1.162,1.07,0.865,0.813,0.815,1.049,1.299,1.205,1.349,1.226
Synuclein alpha (Phospho-Tyr133) ,0.97,0.977,1.143,0.941,1.165,1.01,1.01,1.134,1.15,1.086,0.904
Synuclein alpha (Phospho-Tyr136) ,1.054,1.126,1.169,1.186,1.436,1.379,1.305,1.066,1.086,1.188,1.149
CaMK2A (Phospho-Thr286) ,0.991,1.063,0.958,1.131,1.5,1.32,1.082,1.242,1.084,0.979,0.899
BIM (Phospho-Ser69/65) ,1.004,1.022,1.081,1.085,1.256,1.29,1.178,1.092,1.038,1.203,1.165
CPI17 alpha (Phospho-Thr38) ,0.949,0.963,1.029,1.218,1.711,1.417,1.535,1.119,0.955,1.021,0.984
PKR (Phospho-Thr451) ,1.037,0.922,0.996,1.427,1.324,1.218,1.477,0.93,0.986,0.84,0.949
Gab1 (Phospho-Tyr627) ,0.936,0.951,0.848,1.007,0.952,0.994,1.057,1.008,0.789,1.023,1.114
