,Quiescent 1h/control,Quiescent 6h/control,Quiescent 24h/control,Quiescent 96h/control,Rapamycin 1h/control,Rapamycin 6h/control,Rapamycin 24h/control,Rapamycin 96h/control,IGF 0.5h/control,IGF 1h/control,IGF 3h/control,IGF 6h/control,IGF 24h/control,Apoptosis 0.5h/control,Apoptosis 1h/control,Apoptosis 3h/control,Apoptosis 6h/control,Senescent 1h/control,Senescent 6h/control,Senescent 24h/control,Senescent 96h/control
CDK2 (Ab-160),-0.213351925,-0.931691693,-0.423428341,-0.570370895,-0.085632614,-0.502557952,0.042707604,0.067988052,0.048637025,-0.245964343,-0.910089083,-0.603851184,-0.318071913,-0.757082493,-0.110890205,-0.477713316,-0.076385241,-0.227482613,-0.46741381,-0.713651395,-0.068078828
Caveolin-1 (Ab-14),0.058238055,0.193835306,-0.059253529,0.342792587,-0.13050638,0.046968137,-0.108386675,-0.1324824,0.101666355,-0.005922367,-0.150701562,-0.388379258,0.192200667,0.488824701,0.070656655,-0.237940559,-0.122642508,0.846117385,-0.153214304,-0.051163168,-0.17634979
PKC theta (Ab-676),-0.103084635,0.406075538,0.191114779,0.727464163,0.373538082,0.548163401,0.495721066,0.478560749,0.256588067,0.484828453,0.285370381,-0.016035475,0.291780808,0.980255251,2.149001465,0.434165382,0.04598343,0.44627525,0.456387798,0.28293707,0.77527508
14-3-3 zeta (Ab-58) ,-0.14090964,-0.126197209,-0.089191037,1.948264192,-0.09244276,0.463445953,-0.117709479,0.095069463,-0.407207375,-0.042718428,0.373238428,0.286286374,-0.13943619,0.145680053,0.115455194,-0.132407931,-0.063355247,-0.101556138,0.159788777,-0.088836341,0.092066185
ADD1 (Ab-726) ,-0.022934717,0.535708569,0.228646468,0.536198011,0.307626398,1.260663155,0.334019489,0.275012421,0.270890633,0.453570693,1.23828436,0.536952456,0.599939673,0.884333619,0.328592348,0.256579808,-0.071520565,0.700732982,0.757716534,0.379948582,0.44505225
AMPK1 (Ab-172) ,-0.021842311,0.715606564,0.269229622,0.224423858,0.140830237,0.593272678,0.256315686,1.657068432,0.327669996,0.325582452,0.667453863,0.395781615,0.322957197,0.325579951,0.101022078,-0.061106406,0.126896037,0.441377553,0.232293342,1.778895323,0.482696002
Amyloid beta A4 (Ab-743/668) ,-1.757216586,-0.224233181,-1.372639302,-0.701737462,-0.361991,-0.294098253,0.514064336,-1.052823279,-0.736594502,-1.65001037,-1.046460936,-1.121849494,-1.041727314,-1.827357131,-0.19558218,-0.997880907,1.314953682,-0.831563028,-0.931440294,-0.315913135,-1.430070368
CREB (Ab-142) ,-0.299764145,0.088794142,-0.232138183,0.144144886,-0.088689921,0.197923527,-0.117128034,-0.11284418,-0.017433756,0.295008347,0.112499057,-0.114655253,0.069089099,-0.05622946,-0.085413579,-0.35034683,-0.341972654,0.236372511,-0.059620354,-0.22573906,-0.003504001
DARPP-32 (Ab-75) ,-0.254469651,0.711499677,0.20009116,0.561026311,0.074332014,0.635538839,-0.062721445,-0.009233267,0.735343189,0.170873478,0.38091107,0.273632194,0.277902831,0.080030063,-0.088221091,-0.396754625,-0.256458507,0.844572383,0.216607429,0.222384129,0.101974155
EGFR (Ab-678) ,-0.153345548,0.423132464,-0.147146184,0.21113496,-0.101265404,0.140543098,-0.204762905,-0.221330485,0.065224517,-0.073802098,0.163271132,2.097940354,0.309214585,-0.076349976,-0.278640415,-0.431035118,-0.212826541,0.628915832,0.564716146,-0.212401917,-0.25016498
EGFR (Ab-693) ,-0.007356976,0.501311983,-0.09905204,0.186476936,-0.188872219,0.431263648,-0.22016695,0.196287442,0.272164327,-0.393395662,0.082222624,3.987247357,0.122558129,-0.26009112,-0.115300814,-0.653134909,-0.216737896,0.461561626,0.148105865,-0.057374364,-0.259016462
GABA-RB (Ab-434) ,-0.409928221,0.110294568,-0.390004693,-0.222523149,0.030313848,0.422891629,-0.229046753,-0.354429077,0.357502461,16.76312613,1.090293832,-0.4101976,0.397978329,-0.097464459,-0.470773231,-0.732371208,-0.434088561,0.82988635,-0.03465234,0.288443493,-0.407788049
HSP90B (Ab-254) ,-0.315008282,0.079598038,-0.241382802,0.239140824,-0.10757476,0.086122911,-0.045758034,0.13096928,-0.435195129,7.87907333,0.017292759,-0.13261192,0.137667165,-0.1974898,-0.403926277,-0.289817606,-0.138485861,0.393368074,-0.133654158,-0.058079848,-0.279248697
IkB-epsilon (Ab-22) ,1.085060803,-0.467395269,0.101616851,-0.30172556,-0.012875012,-0.500605991,0.024777154,-0.176609191,-0.921867496,-0.845462987,-1.195947359,-1.620324446,-0.346434501,-1.507894031,-1.018626325,-0.539697478,0.104312751,-0.290372042,-0.80324617,-0.844597197,-0.091655862
Keratin 18 (Ab-33) ,0.503049891,-0.305691943,-0.180868215,-0.566593207,0.163069326,-0.200220131,-0.447224045,-0.595891989,-0.390766153,-0.358854734,0.261211569,1.452572573,0.223808064,0.434995859,0.596097235,0.938463901,1.74636717,0.369432143,0.257641671,1.258866306,-0.372699932
Keratin 8 (Ab-73) ,-0.300840761,0.699746976,-0.050320048,0.035119353,0.107162219,0.398333494,-0.040257532,-0.030749834,0.578403976,0.18607562,0.356938498,-0.163490233,0.734222448,0.302477287,0.063941153,-0.333173905,-0.212814237,0.694575378,0.371675269,0.167320474,-0.144325496
MEF2A (Ab-408) ,0.543208564,0.270800281,0.189747347,0.68096566,-0.028324385,-0.492249604,-0.126324258,0.247481102,-0.246358853,-0.373411097,-0.716002286,-0.896171242,0.230755284,-1.079264522,-0.662604026,-0.4759319,-0.084072139,-0.111722169,-0.232529688,-0.257656732,0.045866225
Myc (Ab-62) ,0.495492264,0.119770318,-0.138515964,-0.373205926,-0.297654207,-0.509309984,-0.364212646,-0.325426024,-0.676234541,-0.422109047,-0.43306605,-0.581506668,0.271195162,-0.93778249,-0.62815174,-0.632368884,-0.209906948,-0.592809717,-0.533371296,-0.54713999,-0.866716713
Opioid Receptor (Ab-375) ,-0.006803703,-1.044040453,-0.07446835,-0.183419688,-0.362452669,-0.549974256,-0.437958093,-0.224321128,-0.037719215,-0.039840193,-0.331722056,0.140730935,0.304071197,-0.35594695,-0.22560241,0.743098231,-0.159235769,-0.81256995,-0.404617675,-0.227600053,-0.41812637
PKC zeta (Ab-410) ,0.090490112,0.464611241,0.089636721,0.379272875,0.390412068,0.341983352,0.059035179,0.000575107,0.615032767,0.599946012,-0.095554129,0.495726459,0.873135097,-0.020320743,0.342876641,-0.239419659,0.266940577,1.53320048,0.162707601,0.573676585,0.33312665
Shc (Ab-349) ,0.112480634,0.701227675,-0.794900791,0.589235507,0.323185177,-1.167799671,-0.46706039,0.188717039,-0.344434119,0.142455572,-1.25661485,-0.881526855,-0.021285522,-1.557309396,-0.909959824,0.332913486,0.527030812,-1.281966006,-1.38021212,-0.507805191,1.533810987
LKB1 (Phospho-Ser428),-0.401557617,0.108144437,0.186361884,0.288620106,0.440120115,-0.213276993,0.005604052,0.0256056,0.302452978,0.224715407,-0.333167747,-0.928504498,-0.276703055,-0.115686606,0.007882825,-0.234465247,-0.341005602,-0.336176596,-0.106333738,-0.253817651,0.109209852
LKB1 (Phospho-Thr189),0.326694833,0.174006678,0.656256179,1.294355312,0.458242719,0.436082297,0.269388046,0.434088129,0.234104131,0.006713324,0.399930998,0.642409666,0.040975255,-0.182626657,-0.149893004,0.317598782,0.109582286,0.144478615,0.214820009,-0.094538872,0.034449638
MAPKAPK2 (Phospho-Thr222),-0.15537826,-0.103891065,-0.620214737,-0.925410826,0.10793299,0.096634473,0.130965127,-0.072437629,-0.590615855,0.156321217,0.548168496,0.664047301,-0.136135898,-0.013887064,-0.232929417,0.114094099,-0.041590573,0.135073342,0.268816006,0.529078383,-0.101849855
MEK1 (Phospho-Ser298),-0.986866343,-0.093277558,-0.453627208,-1.092867992,-0.162752025,-0.035180569,-0.305793762,-0.081722076,0.038720025,0.892734755,0.320029876,-0.098418272,-0.436602117,0.735752626,-0.473366772,-0.512369676,-0.040379507,0.14183827,0.028341218,0.455705174,-0.084825283
MEK1 (Phospho-Thr286),0.491004786,0.196816687,-1.49190284,1.681806382,1.184574421,0.210161343,-0.111327943,-0.092144267,-0.157482826,-1.644500732,-1.11116052,-0.092330945,-1.926042298,-1.439333006,-1.581312007,-0.512862362,0.035974299,-2.153855621,-1.509426933,-0.381084194,-0.801329158
MSK1 (Phospho-Ser360),1.727780187,-1.218980212,-0.375374301,-0.946034538,0.525388027,0.379834371,-0.234870781,0.383064117,0.111601619,-0.445079213,-0.710130275,-0.505340312,-0.349997274,-1.274186214,-0.359263702,0.035991303,-0.48927887,-0.348840963,-0.105249205,-0.179393851,-0.237246822
MSK1 (Phospho-Thr581),0.379679442,0.292325745,-0.007403611,0.310654113,-0.038180136,0.117897694,-0.052054699,-0.124039867,0.14903487,0.020045667,-0.064201952,0.286728373,0.006491367,-0.112749282,-0.181627015,-0.507456469,-0.073002642,-0.045679404,0.22758247,-0.114403938,-0.272924736
mTOR (Phospho-Ser2481),-0.45731929,-0.099365792,-0.41436821,0.379383924,0.457045792,0.087112092,0.547751141,0.538632166,1.582518966,0.911834057,0.479790275,-0.281828205,0.505277922,-0.224332069,-0.345586914,0.424336574,0.137427539,0.861659505,3.25966167,0.825800969,0.334639036
p53 (Phospho-Thr81),-0.433087896,-0.169036018,0.024088367,-0.317992433,-0.208609177,-0.58304564,-0.141823855,-0.170139715,-0.507754044,-0.784457769,-1.134322295,-0.897538675,-0.768605059,-1.076900941,-0.635147456,-0.315620039,0.102449942,0.602448689,-0.425984458,-0.656091487,-0.090410811
p63 (Phospho-Ser455),0.107227097,-0.043181297,-0.247143865,-0.198846601,0.208282722,0.177693944,-0.084765398,-0.138044304,-0.111936958,0.63231655,0.612665137,-0.040971021,0.217936131,-0.077227324,-0.113391952,-0.395292008,-0.268307669,0.209013595,-0.085424968,-0.006448934,-0.041238423
PAK2 (Phospho-Ser20),-0.222118213,-0.156058894,-0.40698763,-0.330516061,-0.221368436,0.30343984,-0.323305298,-0.378892179,-0.41504903,8.092470062,0.823005566,0.056156983,0.435112309,-0.16281617,-0.566744986,-0.83516762,-0.376818497,0.166242241,-0.304834442,-0.129965393,-0.932445942
PEA-15 (Phospho-Ser104),-0.219484861,0.092065817,-0.02019583,0.229494382,-0.089127112,0.123807959,-0.206301193,-0.301546248,-0.14442273,0.040625684,0.084193575,-0.090778964,0.142527448,-0.341818455,-0.403282557,-0.590003365,-0.260479459,0.604405566,-0.11594197,-0.118527925,-0.592113499
PKC alpha/beta II (Phospho-Thr638),-0.32278982,0.552662036,0.159053427,-0.107142015,0.7606416,-0.037062911,0.222114822,0.197134174,0.205419093,0.166790845,-0.235687119,0.013177898,0.303412311,-0.009354627,0.153842319,-0.050847326,-0.090829939,0.240167605,0.165817865,0.029068335,-0.071978204
PKC delta (Phospho-Thr505),-0.385561191,-0.094493413,-0.443446774,-0.286755459,-0.077101773,-0.112994942,-0.410116407,-0.451531676,0.027360153,-0.056428112,0.345957332,0.022907135,0.638182093,-0.034331021,-0.414755696,-0.582541134,-0.353607184,0.306102804,-0.020359272,0.071800409,-0.971945097
PKC delta (Phospho-Tyr313),-0.268645117,-0.179256232,-0.23083734,-0.407632207,0.115218826,-0.18477128,-0.089566245,-0.08937719,0.021291055,-0.00411366,-0.1211285,0.148910548,0.32547385,-0.163090916,-0.09375806,-0.224205912,-0.167557778,-0.100555031,-0.043464091,0.056416799,-0.282264272
PKC theta (Phospho-Thr538),0.480480022,-0.173086556,1.014769952,-0.132785682,-0.235239467,0.777490729,0.099877954,0.109085303,0.440801727,0.663391035,0.486667273,1.804670922,1.546278716,0.0481558,1.086337641,0.621042626,0.6326433,0.114573229,0.309282709,1.368323286,1.548099671
PKD1/PKC mu (Phospho-Ser910),-0.196952543,-0.558511764,-0.45818025,-0.046723245,0.080449049,-0.332525765,-0.069899922,-0.102815745,0.122910426,-0.095051487,-0.102483094,0.042878761,-0.118667941,-0.526506506,-0.38172392,0.849697704,0.008232375,-0.279962493,-0.290567087,-0.192856433,-0.219371043
PLC beta3 (Phospho-Ser537),-0.27971327,-0.314165626,-0.25169034,-0.215769093,-0.150660637,-0.417862141,-0.126663419,-0.25976235,0.019755448,-0.208511363,0.020252625,-0.074514622,0.403240419,-0.305775066,-0.047263634,-0.574433452,-0.240296838,0.087841052,-0.040881602,-0.129647082,-0.565826214
Ras-GRF1 (Phospho-Ser916),-0.38563079,-0.182129614,-0.287094303,0.008215188,-0.050814554,-0.200571718,-0.0932645,-0.099976468,0.127104375,-0.221472922,-0.314134113,-0.619660513,-0.081534488,-0.253187058,-0.044482364,-0.187338436,-0.231646656,-0.18056288,-0.202700694,-0.117987458,-0.015819535
MDM4 (Phospho-Ser367),0.683712847,0.415331235,-0.282625233,0.454784054,0.072618396,-0.26173576,0.10084828,0.761318626,0.147971826,-0.743720556,-1.214827378,-1.013906092,-0.6142582,0.235729648,1.278945511,0.192720224,0.518902962,-0.365818348,-0.503382504,-0.457277394,0.507529063
MEF2C (Phospho-Ser396),0.782611198,1.334504115,0.721976577,1.552986215,0.844184948,1.844492097,0.747979182,0.955666446,4.241128125,1.123221924,1.143073732,0.71928542,0.828714636,2.851261329,0.690912194,0.163562333,0.222069255,1.345810821,0.885403247,0.750335191,2.175410678
MKP-1/2 (Phospho-Ser296/318),-0.324406503,-0.020287515,-0.503312009,-0.322234974,0.154845632,0.078442396,0.103632599,-0.013932482,0.336612842,0.234197966,1.072343791,-0.124509303,-0.340456355,-0.248980507,-0.287620539,-0.397057996,-0.194202779,0.279814947,0.181114617,-0.183750008,0.319180725
SREBP-1 (Phospho-Ser439),-0.253211147,-0.047893488,-0.340044254,-0.141643355,-0.071973646,0.320982095,-0.370693238,-0.42172403,-0.114425876,0.206327041,1.088406699,0.48888073,-0.332417581,0.177214029,-0.423947139,-0.788021246,-0.393243628,0.45976225,-0.146448911,-0.134912398,-0.471949299
PLCG1 (Phospho-Tyr771),-0.238976194,0.304309417,0.388968951,0.076721565,0.150736663,0.278254952,0.054648991,0.002580814,0.178629279,0.140227069,0.873317872,1.204292124,0.347418997,0.293772702,0.233056382,0.053197762,-0.020294767,0.096855528,0.160942941,0.926244104,0.200503933
LYN (Phospho-Tyr507),0.136274786,-1.52426254,-0.773079073,1.226234503,-0.486634184,-0.404598986,-0.067041933,-0.495827605,-0.633613355,-0.575110552,-0.614898047,-0.407836333,-0.492016351,-0.655631807,-1.052909367,-0.117358754,-0.068399772,-0.482423791,-0.363102836,-0.389927992,-0.872266575
p130Cas (Phospho-Tyr410),-0.453810498,0.518693497,-0.174504578,-1.05792589,-0.114012739,0.09607519,-0.441748633,-0.212792442,-0.383333015,0.068033829,0.222643392,0.744394586,0.131841074,0.258009278,0.073910176,0.023789923,0.062131103,0.316468911,0.081385694,0.51860203,-0.188720908
PLCG1 (Phospho-Tyr783),-0.269437408,-0.027650188,-0.243276906,-0.460158327,-0.096497012,-0.205427851,-0.184202357,-0.182342538,-0.164602078,-0.173167361,0.131041509,0.292779111,0.070987457,-0.210909405,-0.233533966,-0.361800765,-0.162285984,0.018598739,0.178762637,0.009867937,-0.223189318
PLCG2 (Phospho-Tyr753),0.406732314,0.661070876,-0.500999057,-0.152416272,-0.027053399,0.482350251,-0.031852649,0.010193797,0.166402753,0.033002619,1.052856897,1.916223828,0.563846146,0.568472397,0.048789245,-0.188542002,0.017100013,0.621488771,0.53273181,1.183776766,0.407669632
ATF1 (Phospho-Ser63),-0.314183526,0.02390879,-0.53058815,0.028855646,-0.009333758,0.240140628,-0.310093085,-0.359184472,0.229876856,0.060668614,1.010267765,0.158961167,0.334941443,0.013770394,-0.463806601,-0.843121152,-0.366958966,1.151941377,-0.136080057,-0.005089022,-0.596394161
CD19 (Phospho-Tyr531),0.304414378,0.089536392,-0.096054918,-0.428877547,0.435192901,0.233562298,0.649721625,0.453179842,-0.616492278,0.262079547,-0.364902378,0.587296336,-0.189801454,0.056372339,0.906613535,1.414237162,0.524983909,0.16961075,0.189127796,0.421261597,0.961691994
Fyn (Phospho-Tyr530),-0.014886009,0.248112299,-0.084088706,-0.371397758,-0.107772829,0.082536779,-0.245777549,-0.341324206,-0.132944355,0.151652305,0.686978783,1.423476227,0.63966323,0.485208655,0.168685964,0.220392265,0.034140752,0.566827783,0.372616613,0.797285998,-0.131000115
ATPase (Phospho-Ser16),-0.545621455,0.306264498,-0.05209347,0.046991272,0.511467428,0.159749892,0.288555426,-0.312053816,-0.388780741,0.051632244,0.472411498,1.175032023,0.044744888,0.27456332,0.328692439,-0.45174308,-0.102517481,0.433472593,0.476753577,0.496896282,-0.327198045
CBL (Phospho-Tyr774),1.043378094,-0.399866275,0.133432756,1.156451507,0.959200581,-0.238075425,0.444430982,0.502492406,-0.12628219,0.750957017,0.883178235,2.010792286,0.737075809,-0.063862907,0.49601902,-0.070410981,0.035367685,0.30438653,0.580718144,1.273773006,0.745162397
CBL (Phospho-Tyr700),2.912497623,1.116928351,-0.171559188,0.920405003,2.673110505,0.54803801,0.699933475,0.001064167,0.623495455,-0.805960073,-0.547341509,-1.195530571,1.296667121,-0.938790328,0.918682818,-0.308805,1.199040418,1.833243189,0.405252849,-0.025475966,2.505200659
FGFR1 (Phospho-Tyr766),0.379924485,-0.304839191,-0.580632672,-0.640112801,-0.148830227,0.548871094,-0.390427536,-0.398987383,0.258934361,0.440912194,1.04714305,0.169223031,0.758530914,-0.475785565,-0.662285802,0.00954737,-0.15049557,0.635618028,-0.22864803,-0.452749704,-0.998640273
FGFR1 (Phospho-Tyr654),2.188971312,-0.357454768,1.488450585,0.557529694,0.116663153,-0.825110122,-0.274420564,-0.320691999,-0.986515698,-0.689043141,-0.986726468,-1.678158243,-0.670296151,-1.029790456,-0.940987838,-0.873789697,0.201626961,-1.209485833,-0.661033689,-0.990130164,-0.877943239
Lamin A/C (Phospho-Ser392),-0.132192971,0.394116542,-0.51205335,0.719186722,2.118358131,-0.856061605,-0.149803387,-0.342991654,-0.000267094,-0.238759287,-0.32782672,-0.292883195,0.733499269,-0.670110243,-0.024341966,-0.180506309,-0.12088304,-0.583042387,1.714825097,-0.11501508,-1.197323341
MITF (Phospho-Ser73),-0.027266776,-1.425548057,-0.876402516,-1.17620925,-0.578119468,-1.801614803,-0.72641453,-0.722708236,-1.371415211,-0.996939414,-1.967582197,-1.2715769,-1.671951474,-1.693370995,-1.651937667,-1.14149278,-0.885485343,-1.418191154,-1.321141204,-0.808859828,-1.756743762
4E-BP1 (Ab-65),1.634082959,0.63380126,4.485272696,-2.543794642,0.277074559,-0.433503585,-0.805158517,0.3121467,-0.285431,-0.520794935,-0.665016552,-1.178827831,-2.039051358,1.594251029,1.886071609,-0.131179693,-0.185825428,-2.212842936,2.799050412,-0.63774361,0.048463391
4E-BP1 (Ab-70),0.369065313,-0.267992691,-0.566642538,-0.830723683,-0.101197598,-0.299811836,-0.187912179,-0.476914796,-0.73995786,-0.445284547,-0.137363614,-0.810320204,-0.786389945,-0.584577831,-0.827647798,-0.391240132,-0.38444176,-0.682677678,-0.28607324,-0.26568389,-0.974890947
Abl1 (Ab-204),0.787858205,-3.394317104,-1.311861396,-0.697610729,-0.819861294,-2.196075214,-1.473083955,-1.570793812,-1.010928172,-1.155274963,-0.750138794,-1.461784165,-2.67986828,-2.467731804,-0.157830714,-2.181110906,-0.834877477,-2.113985831,-1.489224676,-1.378303013,0.039820076
ACC1 (Ab-79),0.804570657,3.245158907,1.09267606,2.060294553,1.796143356,1.632157203,-0.007363575,0.80156391,6.900497103,0.925073417,3.010532188,1.555725126,1.302058825,-0.032042369,-0.154777008,0.791079781,0.71842864,0.820070903,1.569538108,2.035807812,1.373434912
AKT1 (Ab-450),-0.772979623,-0.333812445,-0.085215615,-0.436282624,-0.221649996,0.170913157,-0.075979358,0.020464877,1.359736806,-0.286053063,-0.395995152,-0.30078572,-0.506873952,-0.074917621,-0.421898781,-0.35058192,-0.170599995,-0.128000778,-0.387657474,-0.045484942,0.235415023
AKT1 (Ab-124),0.148464881,-0.482080748,-0.054463278,-0.112516264,-0.220875748,-0.123924412,-0.231924585,-0.404171072,-0.536916569,-0.550411985,-0.384224025,-0.634848295,-0.289027828,-0.815486961,-0.616168214,-0.691616827,-0.157973444,-0.667273023,-0.436430339,-0.207624234,-0.659841237
AMPK beta1 (Ab-182),-0.038177424,-0.353835138,-0.143517813,-0.130320902,0.241321032,-0.183143568,0.644880247,0.540550764,0.194585887,0.015223849,-0.693050525,-0.460046553,-0.484428722,-0.722984555,-0.16432034,0.583882793,0.194532601,-0.389734771,-0.241264646,-0.211213972,0.967597034
Chk2 (Ab-387),-0.069851221,-0.373501086,-0.058319905,-0.907670611,0.071932715,-0.048675557,0.302114066,0.464333779,-0.231346285,0.105243606,-0.530436339,-0.118285628,-0.057279426,-0.381743819,0.207010722,0.576054889,0.096188297,-0.382369448,0.046423009,-0.137629579,1.19342272
Cyclin D1 (Ab-286),-0.182242147,-0.865437579,-0.25989547,-0.930851261,-0.483712445,-0.574688028,-0.018649465,-0.173185958,-0.705188636,-0.894951469,-1.5085627,-1.236245505,-0.444003276,-1.324260336,-0.806918658,-0.13108623,0.280860112,-0.981794644,-0.479635276,-0.440252055,0.240158192
Cyclin D3 (Ab-283),0.51826725,-0.76172542,-0.026099043,-0.500029145,-0.484238082,-0.538152388,-0.046624079,-0.215370453,-0.289347019,-0.489007147,-0.797813497,-1.002684656,-0.698669744,-0.420112485,-0.845511552,-0.280810442,-0.531582466,-0.592922052,-0.385499646,-0.419947488,-0.752888417
Interferon-alpha/beta receptor alpha chain (Phospho-Tyr466),-0.290217701,-0.240562588,-0.339552742,0.1346745,-0.192583904,-0.116451291,-0.302750524,-0.408118922,-0.214862964,0.047884274,0.581171823,0.008368787,0.099100423,0.564762012,-0.285170201,-0.814102623,-0.430840886,0.577220236,-0.387709239,0.071474307,-0.400058052
DYN1 (Ab-774),0.413547325,-0.136631189,0.588337886,-1.329722368,-0.099684764,-0.748043572,0.082496978,0.237577079,-1.303561226,-1.007998578,-1.411919479,-0.833260043,-0.327210705,-0.748685346,0.491785273,-0.330653709,0.290721332,-0.704266748,-0.129148994,-0.215917756,1.214961405
E2F1 (Ab-433),0.450430008,-0.925824591,-0.408367797,-1.299525911,0.087347331,-1.410059021,-0.635682402,-0.868662702,-1.395520035,-1.273726081,-1.540557747,-1.720616766,-1.067815892,-1.94136652,-1.554155146,-1.282943008,-0.526357147,-1.679648667,-1.109487966,-1.344526526,-1.820164095
FAK (Ab-576),0.052506457,-0.57588151,-0.4426638,-0.804253104,-0.072541482,-0.171066578,-0.248236423,-0.303972745,-0.22915826,-0.205788659,-0.085324294,-0.239934649,0.184497363,-0.551855791,-0.575890961,-0.593783712,-0.336545779,-0.227027623,-0.201296545,-0.282259101,-0.637664165
HDAC5 (Ab-259),0.566603894,-0.344516541,-0.214345275,0.326685218,0.457310651,-0.563884432,0.145313051,0.151712304,-0.16750739,-0.027719171,-0.72122789,0.575356118,-0.377830474,-0.966695889,-1.1726341,-0.135510461,-0.074746956,-0.017234548,-0.797856685,0.612300639,-0.225342692
HSL (Ab-552/563),0.246074497,-0.832656903,-0.193301347,0.053093341,0.108206533,-0.245687605,0.214595002,0.245391442,0.302235927,-0.198877065,-0.636487328,0.864184787,-0.124835105,-0.323572438,-0.692094609,0.308683764,0.118667495,-0.836082734,-0.349013968,0.644039995,-0.09681663
IkB-beta (Ab-19),-0.096080073,-0.51215062,-0.149042189,-0.501562147,-0.163659228,-0.352722691,-0.206154285,-0.16825839,-0.251161231,-0.213010609,-0.352974239,-0.342225415,0.344410888,-0.43748385,-0.428084863,-0.220402335,-0.411475966,-0.227565785,-0.193951689,-0.122845116,-0.226653828
IKK-alpha/beta (Ab-180/181),-0.26809985,-0.822382512,-0.226596385,-0.366408927,0.066708986,-0.343829272,0.176239802,-0.051538496,1.574417606,-0.159043026,-0.217677268,-0.126368507,-0.239594978,-0.571948912,-0.094463674,-0.017032563,0.075998319,-0.491479306,5.01E-05,0.091093141,0.168157285
IKK-alpha/beta (Ab-176/177),-0.360731642,-2.003621798,-1.082667408,-1.894552915,-0.628354079,-1.331566867,-0.859842905,-0.973950816,-1.605076206,-1.820113641,-2.357575162,-2.476387843,-0.208441594,-2.275654674,-1.645456516,-1.35277297,-0.196059919,-1.840975675,-1.325855753,-0.603640683,-1.826595824
FAS (Ab-291),-0.60407093,-0.780267023,-0.02994219,-1.239175918,-0.556436485,-0.073742294,-0.434319606,-0.407309685,-0.81443538,-0.69356015,-0.790620396,-0.559481289,-0.398547195,-0.56871417,-0.307880885,-0.824900242,0.572668939,-0.199198455,-0.615003854,-0.38917185,-0.533529522
FosB (Ab-27),-0.23084868,-0.890600365,-0.428030301,-0.56036941,-0.548725279,-0.405823862,-0.532280746,-0.610344677,-0.467278042,-0.416491899,0.280452898,-0.961415141,-0.673625315,-0.822327388,-0.837485597,-1.145740786,-0.68094176,-0.654902006,-0.54689041,-0.701985923,1.223953522
GRK1 (Ab-21),-0.080166082,-0.155820686,-0.162353199,-0.342869092,0.161274534,0.47104609,0.024882532,-0.022577854,-0.236932357,0.191684969,0.965794479,0.525222367,-0.049880105,-0.216255222,-0.119456475,-0.29329668,-0.237161392,0.323786398,0.051458401,0.234779689,3.802754541
HDAC3 (Ab-424),0.294857996,-0.696664993,-0.380504135,-0.93120487,-0.043289081,-0.29391218,-0.179361029,-0.422643379,-0.049160484,-0.649133297,-0.676279655,-0.581490462,-0.530080964,-1.074037695,-0.481763272,-0.426954931,-0.116759114,-0.907248107,-0.568163863,-0.179365885,-0.328799567
HDAC6 (Ab-22),0.730928646,-0.042979781,0.633104437,-0.504547464,-0.477644858,-0.427497291,-0.426062148,-0.579253468,-0.582260331,-1.035065669,-0.813577478,-1.228079781,-0.20834523,-1.059021954,-0.110864816,-1.023976178,0.03108774,-0.795203359,-0.213320495,-0.267206179,-0.770930375
HER2 (Ab-686),-0.087771941,-0.406419869,-0.300164414,-0.433989968,0.082829288,-0.002122159,-0.616498523,-0.687266344,-0.635636588,-0.42790887,0.147495579,-0.293203179,-0.599539786,-0.812690561,-0.813797453,-1.172747798,-0.615110935,-0.690774627,-0.468877639,-0.500885253,-1.36851832
HER3/ErbB3 (Ab-1222),-0.033018226,-0.320486743,-0.37679579,-0.217106892,-0.535850672,-0.566669391,-0.739800911,-0.846938017,-0.695565953,-1.009197309,-0.194100783,-0.404825683,-0.794378036,-0.926684916,-1.191143209,-1.257007857,-0.731352683,-0.829329354,-0.70645052,-0.82248607,-1.632445896
HER3/ErbB3 (Ab-1289),-0.315310647,-0.131097549,-0.466369757,-0.557100357,-0.351698935,-0.144219014,-0.47351024,-0.579738066,-0.258211983,-0.305136037,0.344674531,-0.101093267,-0.159532638,-0.32092189,-0.410919413,-0.862368125,-0.482708624,-0.116908493,-0.086626875,-0.121440824,-0.544623615
HER4/ErbB4 (Ab-1284),0.487464681,-0.647937549,-0.200958393,-0.890585911,-0.520617562,-1.031166546,-0.814030145,-0.891731063,-1.361948269,-1.41686629,-1.573015106,-1.76703304,-1.129618704,-1.685484578,-0.916809661,-1.565616603,-0.651732405,-1.748798839,-0.943364997,-1.067969,-1.812965274
Smad1 (Ab-187),0.338894892,-0.131200484,-0.350038392,-0.05867126,-0.187131894,-0.04238921,-0.520323819,-0.58473014,-0.356625729,-0.262200793,0.581561937,0.004551074,-0.132453784,-0.622513229,-0.586542166,-0.997444192,-0.538454681,-0.131087957,-0.240288977,-0.221476761,-0.691978887
Smad2 (Ab-255),0.316068928,-0.869983829,-0.25012487,-1.710073182,-0.781443767,-1.101276999,-0.941698784,-1.001020283,-1.773533746,-1.442004608,-1.643632984,-1.944896848,-1.110371904,-2.044642532,-1.507990261,-1.462757706,-0.504968121,-1.734078435,-1.14501583,-1.217931543,-1.776005045
