,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
Synuclein alpha (Phospho-Tyr133),877,1476,1806,1872.5,1729.5,1257.5,1535,1245,1177,1284.5,1481.5,2081,1127,1981,1564,1212.5,1030.5,1149,2026.5,1643.5,1874.5,1232.5
Synuclein alpha (Phospho-Tyr136),1022,1092,1522,1054.5,1272,898,1222.5,955.5,942.5,902.5,1311.5,1751,1491,1616.5,1426,984,1014.5,976,1279.5,1277.5,1433,773.5
CaMK2A (Phospho-Thr286),1021,1020,1697.5,1300.5,1359,1041.5,1259,931.5,756,943,1236.5,1734.5,1485.5,1770,1513.5,1135.5,716,897,1423.5,1355.5,1481.5,889.5
BIM (Phospho-Ser69/65),918.5,788.5,1353,1011.5,1195,732,1089.5,844,719.5,805.5,970,1386,1029.5,1374.5,1307,946,753,780,1263.5,1176,1231,683
CPI17 alpha (Phospho-Thr38),1038.5,1073,1611.5,1160.5,1289,940.5,1334.5,814,751.5,1013.5,1201,1960.5,1257.5,1848.5,1310.5,1006,710,896.5,1594,1314,1268.5,692
PKR (Phospho-Thr451),1140.5,1204,1808.5,1613.5,1645,1130,1155,935.5,1004.5,1022.5,1285,1886,1284,1827.5,1511.5,1219,853.5,1096.5,1537,1561.5,1565,774.5
Gab1 (Phospho-Tyr627),1058,1096.5,1580.5,1218,1636.5,995,1322,965,635,1078.5,1261,1872.5,1351.5,1959,1416,1044.5,888.5,954,1555,1292,1326.5,829
GluR2 (Phospho-Ser880),1280.5,1159.5,1693,1408.5,1476,900.5,1310.5,1049.5,928.5,1158,1295,2296,1594.5,2450,1927,1237.5,1087,1537.5,1701,1422.5,1592,895
MARCKS (Phospho-Ser158),1980.5,1695.5,2251.5,2996,2063,1524.5,1744.5,1536.5,1521.5,1227,1867,2391.5,2193.5,2708.5,2275,1992.5,1593.5,2107.5,2224.5,1778.5,2025.5,1272
Ezrin (Ab-353),473,505.5,912.5,620,1062,528.5,757.5,508.5,500,478.5,574.5,967,570,830,970.5,711.5,387.5,433,811,646,701,427.5
Tau (Ab-235),15245.5,21717.5,31671.5,23731,32043.5,17838,22286,11353,12183.5,14671,12739.5,20045.5,9644.5,21368.5,21471,15809.5,5894.5,11228,27814.5,23260.5,19800,16491
Tau (Ab-181),553.5,575.5,1022,674.5,868.5,536,770.5,517,487.5,574,720.5,1506.5,758,994.5,988,603.5,316.5,440,1022,724,938,438.5
Tau (Ab-205),1650,2031.5,2648,2176,1909.5,1548.5,1848.5,1609,1293,1346.5,1747.5,2731,1945.5,2386,2363,1963.5,1537.5,1573.5,2096,1718.5,2107,1156.5
Tau (Ab-214),1345,1539,2044,1625.5,1827,1448,1902,1489,1569,1421.5,1439,2089,1453,2093.5,1923.5,1624.5,1147.5,1241.5,2082,1601,1793.5,1414
Tau (Ab-231),820.5,872.5,1308,967.5,1113,810.5,1156,822,788,823.5,985,1644,958.5,1376.5,1250.5,864,602.5,708,1242.5,1039,1167,624.5
Tau (Ab-262),885.5,831.5,1362,935.5,1088.5,721,1224,662.5,654,861,1009.5,1734.5,999,1396,1172.5,826,612.5,670,1311.5,1112,1083.5,568.5
Tau (Ab-404),1430,1694,2377.5,1695,1754.5,1403,1877,1472.5,1273.5,1302.5,1410.5,2228.5,1248,2352.5,1626.5,1352,824,1223.5,2165,1883.5,1882.5,1253
G3BP-1 (Ab-232),1103,1362,1888,1255.5,1389,1082.5,1662,881.5,1204.5,1007.5,1170.5,2081.5,1277,1702,1152.5,905,548,891,1656,1190,1409.5,728.5
Catenin beta (Ab-41/45),787,833,1393.5,860,1101,792.5,1459.5,656,619,846.5,1557,1681,882,1452.5,1181.5,813.5,507.5,644,1249.5,953,1092.5,569
Androgen Receptor (Ab-213),645.5,679,1052,770.5,915,567.5,946,561,556.5,767.5,2338,1357,761.5,1229,1061,679,411,531,1251,885,839.5,480.5
Androgen Receptor (Ab-650),838,955,1497,1029.5,1214.5,739.5,1153,666.5,619,855,878.5,1605,806,1556,1207,785.5,424,622,1376,1019.5,1071,554
ICAM-1 (Ab-512),626,681.5,1043,713,940.5,633.5,902.5,508,505,694.5,775.5,1227,813.5,1346.5,1002,619.5,389.5,499,1091.5,829.5,913,462
Paxillin (Ab-118),565,534.5,952.5,655,762.5,523.5,750,435.5,455,628.5,641,1158.5,564,1206.5,872,539,319,417,955.5,720.5,851.5,381.5
Rb (Ab-795),2169,2632.5,2818.5,2092.5,2140,1764.5,2018,1340,1233.5,1485.5,1729.5,2951.5,1772.5,3041.5,1949,1590,966.5,1661.5,2532.5,2058.5,2250,1176.5
Rb (Ab-807),3644.5,4251,4817,3509.5,4025,3027,3069.5,2552.5,2150,2234,2793,4620,2728,4760.5,2930,2793,2005.5,4457,4093,3309,3590,2220.5
Rb (Ab-780),1762,1710.5,1901.5,1414.5,2598,1512.5,1552,1297.5,1243.5,1530,1557.5,2317.5,1427,2380,1655.5,1184,1158,1572.5,1645.5,1693,1506.5,1087.5
CDK2 (Ab-160),1739.5,1820,2035.5,1715.5,2053.5,1541,1722,1419,1434.5,1631.5,1706.5,2324,1677.5,2419,1777.5,1667.5,924,1460.5,2244,1697,1563,1205.5
Caveolin-1 (Ab-14),721,833.5,1185.5,849.5,1072,624.5,910,537,531.5,688.5,780,1285,750.5,1204,1143,738.5,431,588.5,1250.5,820,909,485.5
PKC theta (Ab-676),649.5,708.5,1126,851,1049.5,706.5,981,668,652,652.5,836.5,1324,762,1120,1174,1153.5,509.5,585.5,1019,942.5,937.5,549.5
14-3-3 zeta (Ab-58) ,926.5,996.5,1398.5,1077,1876.5,818,1360.5,686,775,733.5,988,1936.5,1186.5,1379,1325,964,581,784,1243.5,1203,1149,669
ADD1 (Ab-726) ,706,793,1262.5,939,1095.5,747.5,1315.5,672.5,646,712.5,900,1834.5,967,1336.5,1245.5,789,519,594.5,1182,1134,1056.5,555
AMPK1 (Ab-172) ,893.5,1004,1665.5,1207.5,1293,880.5,1369.5,818.5,1356.5,918,1091,2022,1179,1556,1350.5,925,578,842,1400,1193.5,2020.5,708.5
Amyloid beta A4 (Ab-743/668) ,2763,1167,4056.5,1342,3140,2112,3020.5,2865.5,927,1895.5,1081.5,3470,2156,2748,1486,2564,1068.5,4263,2873.5,2035.5,3083.5,1232
CREB (Ab-142) ,792.5,801.5,1268,861.5,1125.5,701,1059.5,587,591,726.5,957.5,1535,902,1270,1061,767,449,559,1174.5,939.5,923.5,558.5
DARPP-32 (Ab-75) ,708,729,1318.5,931,1104.5,677,1100,542.5,560,820,818.5,1483,903.5,1215.5,991.5,684.5,392,530,1227.5,940,998.5,512.5
EGFR (Ab-678) ,872,933.5,1518,987,1258,766.5,1141,610,609,822.5,918.5,1715,1678,1512,1159.5,783,474.5,672,1434,1314,1022.5,575.5
EGFR (Ab-693) ,884,998.5,1568,1023,1268,743,1284,612,778.5,892.5,812.5,1696.5,2294.5,1442.5,1102,846,426.5,679.5,1392.5,1142.5,1111.5,582
GABA-RB (Ab-434) ,784,758,1261.5,787,1017,734.5,1135.5,539.5,502,813,6369,1969,810,1397.5,1035,649.5,361,516.5,1354.5,939.5,1134,495
HSP90B (Ab-254) ,1058.5,1064,1689.5,1145.5,1537,927.5,1356.5,819.5,902,828.5,4650,1991,1198,1736,1349.5,902.5,617.5,855.5,1637.5,1214.5,1330.5,693
IkB-epsilon (Ab-22) ,5278.5,8292.5,7209,6667,6707,4845,5230.5,4261.5,3789.5,3307.5,3849.5,6165.5,3184,7258.5,3601.5,3327,2713,4914,6672,4237,4365,3635.5
Keratin 18 (Ab-33) ,1152.5,1539.5,1652.5,1284,1362,1147,1313.5,675,616.5,918.5,1076,2333,1953.5,1944.5,1799,1399.5,1065.5,2029.5,1771.5,1554.5,2278.5,735
Keratin 8 (Ab-73) ,732.5,740.5,1360.5,866.5,1013.5,711,1052,569,572.5,811.5,851.5,1524,821,1440.5,1099.5,748.5,418.5,564.5,1224.5,1031,1011,497.5
MEF2A (Ab-408) ,1917.5,2592.5,3215,2511,3068.5,1747,1908,1412,1731.5,1617,1778.5,2780.5,1650,3242.5,1680,1455.5,1019.5,1602.5,2565.5,2102.5,2201,1368.5
Myc (Ab-62) ,1678.5,2237,2707.5,1907.5,2092.5,1330.5,1656,1048.5,1096,1184,1522.5,2713,1632,2875.5,1578,1295,819.5,1296,1911.5,1580.5,1661,920
Opioid Receptor (Ab-375) ,1013.5,1145,1138,1186,1328,774.5,979.5,598,706.5,922.5,1082,1698.5,1245.5,1754.5,1219.5,929.5,882,808.5,1062,1021.5,1180,638
PKC zeta (Ab-410) ,798.5,933.5,1404,1003.5,1197,874.5,1124.5,657.5,635,894,1067,1449,1082,1631,1082,896.5,477,809,1612,1038,1279.5,611.5
Shc (Ab-349) ,5234.5,6166,9725.5,4137,8215.5,5578,3457,3017,4592.5,4249.5,5989,5927.5,4531.5,8129.5,3454.5,3505,3959,5991.5,4468,2647,5292.5,5149
LKB1 (Phospho-Ser428),957,928.5,1539,1251.5,1405.5,1069,1084.5,764,771.5,975.5,1128,1603,812.5,1352.5,1255.5,958.5,573,675.5,1191.5,1111.5,1100.5,694
LKB1 (Phospho-Thr189),964,1219,1577,1499.5,1741,1084.5,1402.5,889,949,961.5,1048,2030,1356.5,1530,1235.5,910.5,725,900,1392,1279,1192.5,686
MAPKAPK2 (Phospho-Thr222),1327,1419.5,2015.5,1171,1408.5,1288.5,1707.5,1137.5,1013,972.5,1526,2910,1877.5,1977.5,1802,1213.5,923,1137.5,1911,1797.5,2094,911.5
MEK1 (Phospho-Ser298),858,629.5,1307,832.5,862.5,731,1048,559.5,651.5,802,1252,1766.5,981.5,1137.5,1456,710,447.5,736,1238,1056,1319.5,592
MEK1 (Phospho-Thr286),2905.5,3867,4781,1228.5,5625,4196.5,3902,2160,2193,2533,1144,3538.5,3330,1483.5,2072.5,1240,1515,2604.5,1431.5,1276,3139,1627
MSK1 (Phospho-Ser360),2339.5,4283,2454.5,2366.5,2467,2701,3338.5,1603.5,2251,2241.5,2099.5,3400.5,2338,3212.5,1843.5,2032.5,1576.5,1476,2900.5,2718.5,2785.5,1549.5
MSK1 (Phospho-Thr581),970.5,1248,1636,1170,1432.5,880,1259,748.5,719,941.5,1060.5,1779,1243,1522,1274.5,905.5,507.5,816.5,1325,1294,1190,636.5
mTOR (Phospho-Ser2481),831.5,788,1264.5,824,1246.5,935,1066,875.5,856.5,1189,1220,1790,897,1531,1050,726.5,650,788,1447.5,2406.5,1447,637
p53 (Phospho-Thr81),2093,2004,3121.5,2558,2648,1741,1988.5,1526,1508.5,1589.5,1580,2520.5,1800,2394.5,1836,1609.5,1206,1946.5,3419,2086.5,1946.5,1442
p63 (Phospho-Ser455),827.5,973,1278,893,1080,840,1098,625.5,608,733.5,1117,1846,963.5,1393.5,1100,792.5,458.5,614.5,1217,970,1063.5,577.5
PAK2 (Phospho-Ser20),877.5,915,1313.5,873,1106.5,725,1219,565,552.5,692.5,3933.5,2066,1052,1582,1132.5,696.5,379,603.5,1275,929.5,1068.5,470.5
PEA-15 (Phospho-Ser104),1016,1060.5,1627,1218,1472,898.5,1321,710,674,890,1119,1951,1165,1669,1229,866.5,508,758.5,1660.5,1175,1243.5,607.5
PKC alpha/beta II (Phospho-Thr638),975,977,1750.5,1261,1302.5,1226.5,1190,877.5,859,963.5,1125.5,1689,1154,1687.5,1326,1028,633.5,811.5,1446.5,1269,1272,675
PKC delta (Phospho-Thr505),965,942.5,1469.5,941.5,1231,858.5,1141.5,582,577,898.5,1023.5,2001.5,1145.5,1847,1301.5,819,484.5,675,1458,1163.5,1281.5,510.5
PKC delta (Phospho-Tyr313),1065.5,1091,1584.5,1159,1316,1038,1222.5,803,805.5,990,1153.5,1917.5,1312.5,1857,1375,1028,641,845.5,1430.5,1272,1406,697
PKC theta (Phospho-Thr538),800.5,1062,1192.5,1396.5,1062.5,656.5,1300,674.5,674.5,851.5,1091,1726.5,1457,1930,1109.5,1114,669.5,959,1146,1101,1630.5,789.5
PKD1/PKC mu (Phospho-Ser910),1058.5,1114.5,1405,1024.5,1435.5,1015,1137,807.5,794,1018,1105.5,1916.5,1264,1587.5,1192,911,952.5,934,1342.5,1129,1252.5,704.5
PLC beta3 (Phospho-Ser537),925,943,1323,996,1202,793,954.5,681,630.5,859,922,1741.5,1066,1651.5,1134,908,466.5,700,1314,1105.5,1126.5,557.5
Ras-GRF1 (Phospho-Ser916),921,899.5,1368.5,974.5,1266,830,1049.5,692.5,692,887,913,1553,883,1400,1151,905,563.5,701,1206,1024,1127.5,647
MDM4 (Phospho-Ser367),943,1328.5,1638.5,1000,1437.5,901,1046,795,1063,914.5,728,1091,772,1158.5,1387,1378,676.5,1075.5,1162.5,902.5,979.5,752
MEF2C (Phospho-Ser396),629.5,912,1337.5,1001,1191.5,815,1355,722,763,1437,979.5,1600.5,903,1270.5,1670.5,786,446.5,623.5,1222,1052.5,1069.5,692.5
MKP-1/2 (Phospho-Ser296/318),1073,1074.5,1667.5,1013,1356,1064,1371,906,846.5,1105.5,1269,2683.5,1217.5,1479,1343,960,594,837,1609.5,1405,1275,819
SREBP-1 (Phospho-Ser439),795.5,819.5,1227,819.5,1053.5,709.5,1112,494.5,486,704.5,931.5,1997,1076,1100,1149,672.5,354,540.5,1252.5,907.5,966.5,493
PLCG1 (Phospho-Tyr771),1030,1067,1741.5,1457,1439.5,1019.5,1418,846,820,1009,1177.5,2455.5,1655,1807.5,1542,1115.5,699,894,1467,1338,1849,764
LYN (Phospho-Tyr507),1794,2130.5,1651.5,1438.5,3199,1273,1863,1371,1038,1290,1512,2708,1855,2324,1915.5,1108.5,1132.5,1513.5,2125,1846.5,1929.5,981.5
p130Cas (Phospho-Tyr410),1532.5,1454.5,2729.5,1712.5,1558.5,1338.5,1971.5,901.5,1076,1225,1705.5,3067.5,2212,2508.5,2269.5,1571.5,1027.5,1394,2322,1928,2409.5,1028.5
PLCG1 (Phospho-Tyr783),1207,1235.5,1872,1305,1469.5,1063.5,1372.5,856,863.5,1049.5,1221,2351,1548.5,1935.5,1531.5,1103.5,680,961,1680,1579,1562,802.5
PLCG2 (Phospho-Tyr753),1069.5,1387,1969,1011,1412.5,975,1580.5,835,855,1043.5,1174.5,2662.5,1989,2003.5,1734,1087,654,948.5,1755.5,1594,2070.5,833.5
ATF1 (Phospho-Ser63),633,636.5,995.5,588.5,874.5,582,859.5,411.5,404,630.5,702.5,1560,782,1106.5,867.5,526,272,438.5,1178,725.5,814,378
CD19 (Phospho-Tyr531),2559.5,3213.5,4096,2966,3143,2853.5,3467,2817.5,2541,1854.5,3057,4239.5,3551.5,3739,3557,3395.5,2704.5,2927,3722.5,3362,3888,2252
Fyn (Phospho-Tyr530),1138.5,1282.5,1898,1326.5,1420,997.5,1457,774.5,735.5,1001.5,1307,2589.5,1918,2180,1803,1206.5,825.5,1019.5,1843,1603,1963.5,776
ATPase (Phospho-Ser16),1250,1140,2114.5,1477.5,1734.5,1435.5,1647.5,1164,823.5,997,1382.5,2685.5,1995.5,1986.5,1860.5,1397,673,1033,1954.5,1827,1950.5,807.5
CBL (Phospho-Tyr774),909.5,1413.5,1268,1164,1600.5,1223.5,1019.5,913.5,922.5,802,1273,2173.5,1722,1790,1214.5,1071.5,586,815,1373.5,1378,1805.5,764.5
CBL (Phospho-Tyr700),1210,2794.5,2460,1354,2033.5,2539.5,1827.5,1360.5,962.5,1358,902.5,1874.5,912.5,2752,1137,1610.5,699.5,1796,2593,1724,1542.5,1403.5
FGFR1 (Phospho-Tyr766),1117,1436.5,1602,1009,1292.5,958.5,1687.5,684,693.5,1123,1418,2777,1384,2211.5,1283.5,848,744.5,896,1840,1227,1163,585.5
FGFR1 (Phospho-Tyr654),5084.5,10256,7179.5,10140,7926,4956.5,4221,3390.5,3330.5,3080.5,4042,6564,2962.5,6090.5,4568.5,3347.5,2141.5,4983.5,4492.5,4453.5,3800,2776.5
Lamin A/C (Phospho-Ser392),1536.5,1658,2656,1443.5,2478.5,2850,1252,1114.5,991.5,1417,1512,2578.5,1651.5,3021,1630.5,1521,943,1255.5,1756,3225,1883.5,750
MITF (Phospho-Ser73),2840,3185,2732.5,2122.5,2775.5,1901,984,1291,1362,1370,1890.5,2029.5,2065,1845,1699.5,1139.5,985,1223,2264,1522.5,2404,1098
4E-BP1 (Ab-65),6295.5,11287,11518,22503,3264.5,6581,6447.5,2629,5862.5,5230,5449.5,9317.5,4785,2825,13127.5,10582,3950,4937.5,2948,16727.5,5918,4496
4E-BP1 (Ab-70),1422,1822.5,2061.5,1295,1554.5,1250,1550.5,1006,834.5,974,1276,2545.5,1267,1613,1564,994.5,789.5,972.5,1566.5,1520,1626,751.5
Abl1 (Ab-204),28731,41685.5,3818,14875.5,32691,16178,4341,2986.5,3144.5,17182,17215,41085.5,18949,2816,7131.5,27054,1669,13107.5,14629.5,12916.5,15375,20473.5
ACC1 (Ab-79),1056.5,1540,3095,1886.5,2179.5,1810,2163,837,1209.5,3313,1556,3845.5,1829.5,2406,1426,996,933.5,1311.5,1821,2138.5,2537.5,1008.5
AKT1 (Ab-450),1173,962,1668,1366,1437.5,969,1552.5,891.5,943,1593.5,1131,1921.5,1257.5,1510,1560.5,992.5,664.5,929,1561.5,1192.5,1482.5,877.5
AKT1 (Ab-124),1532.5,1827.5,2083.5,1809.5,2044.5,1266.5,1804.5,1052.5,948,1149.5,1307.5,2521,1461,2155.5,1525.5,1189,723,1223.5,1698,1519.5,1801,897.5
AMPK beta1 (Ab-182),2750.5,3072.5,3888,3118.5,3653,2832,3158,3021.5,2835.5,2708.5,3000,4025.5,2793,3574.5,2853,2583.5,2272,2686,3363.5,3003.5,3227,2423
Chk2 (Ab-387),2330.5,2573.5,3275,2747,2487.5,2226,2831,2185,2325,1976.5,2630,3633.5,2649.5,3573.5,2777,2502,1920,2160,2857,2890,2828,2148.5
Cyclin D1 (Ab-286),6737.5,7134,8072,7225.5,7139,4789.5,6429,5302,4847,4690,4773.5,6632,4983.5,8905,5156.5,4762.5,4227.5,6873.5,6588,6530.5,7061,5046
Cyclin D3 (Ab-283),1607,2156.5,1995.5,1921.5,1935,1142,1562.5,1243.5,1126.5,1333,1412.5,2253,1322,1900,1887,1113.5,941.5,979.5,1830,1635.5,1702,914
Interferon-alpha/beta receptor alpha chain (Phospho-Tyr466),723,734,1056.5,745,1024.5,606.5,854,472.5,446,617,798.5,1599.5,854.5,1170.5,1171,647.5,316.5,477.5,1173.5,735,960,457.5
DYN1 (Ab-774),26440,34362,39793.5,40180.5,24478,23259.5,22959,22062.5,23761,13330,17477.5,27527.5,23342.5,36636,27118,31109,15124.5,27105.5,28890.5,30398,30952.5,24478.5
E2F1 (Ab-433),4440,5836.5,5206.5,4414,4155.5,4271,2399.5,2207.5,1846.5,2107.5,2439.5,4287,2520,4352.5,2159,1938.5,1365.5,2718,3059,2864,2458,1665.5
FAK (Ab-576),1190.5,1373.5,1571.5,1162,1312,1061.5,1374,808.5,788.5,1010.5,1188,2167.5,1302,1983,1327,941,594,843,1536,1324.5,1350.5,702
HDAC5 (Ab-259),1830,2491.5,2594,2006.5,2711,2058,1756,1581,1576,1589.5,1963,2648,2531.5,2485,1696.5,1051.5,1146,1538,2520,1474,2971,1216
HSL (Ab-552/563),1246,1535,1510,1380,1731.5,1210,1392,1117,1124,1270,1247,1865,1851.5,1864.5,1517.5,932.5,934,1169,1293.5,1291.5,2044.5,857
IkB-beta (Ab-19),1169,1278.5,1574.5,1322,1407,995.5,1244,817,843.5,984,1163,1944.5,1236,2049.5,1363.5,986.5,704.5,783.5,1508,1305,1428,776.5
IKK-alpha/beta (Ab-180/181),1283.5,1314.5,1561,1399,1603,1223,1371.5,1127.5,991.5,1832,1306,2237,1455.5,1840,1419,1238,846,1176.5,1515.5,1561,1718,944.5
IKK-alpha/beta (Ab-176/177),16300.5,16084,11714.5,10409.5,12002.5,10551,9443,6388.5,6030,6641.5,5216,7913,4874.5,23646,5462,6578.5,4697,12700,10142,8699,15627,6095.5
FAS (Ab-291),981,871.5,1210.5,1171,938,666,1179.5,580.5,605.5,648.5,778,1379.5,961.5,1321,1086,870.5,426.5,1145.5,1277,882.5,1055.5,597
FosB (Ab-27),1109.5,1153,1317.5,1091.5,1313.5,757,1151.5,605.5,586.5,857,1009,2258.5,929,1327,1101,772,383.5,592.5,1235,1037,1004,1029
GRK1 (Ab-21),989,1088,1480.5,1111.5,1243,983.5,1456,798.5,776.5,837,1152,2411.5,1350.5,1520.5,1252.5,945,576,750,1501.5,1229,1401.5,1380
HDAC3 (Ab-424),2942.5,3683,3734.5,2968.5,3117.5,2661.5,3217,2093.5,1796.5,2667.5,2388.5,4335.5,2861,3750.5,2585,2426,1604.5,2410.5,2968,2718,3503.5,1900
HDAC6 (Ab-22),4978,7108,7688.5,7682.5,5986.5,3552,5113,2965,2699,3661.5,3234,6933,3696.5,7221.5,4407,4772,1889,4450,5252,5507.5,5688,2815
HER2 (Ab-686),1211,1328.5,1685,1273,1485,1162.5,1499,613,599.5,870,1095.5,2370.5,1301.5,1497.5,1207,853,409.5,687,1330,1180.5,1229,553.5
HER3/ErbB3 (Ab-1222),1112,1244.5,1587.5,1124,1444.5,765,1065.5,498.5,473,777.5,734.5,1953.5,1151,1256.5,1051,631.5,350,565.5,1157.5,948,933,455
HER3/ErbB3 (Ab-1289),1084,1089.5,1634,1044.5,1284.5,833.5,1265.5,621.5,587.5,910,1036.5,2247.5,1239,1601.5,1321.5,921.5,460,687.5,1448,1270,1325,657.5
HER4/ErbB4 (Ab-1284),5903,7848,7613,6514,6334.5,4100.5,4298,2440.5,2395.5,2865.5,2888.5,5587,3253,5587,3553.5,3938,1352,3239.5,3898,4312.5,4160.5,2222
Smad1 (Ab-187),1124.5,1427.5,1695,1152.5,1520.5,946,1369.5,620,607,908.5,1095.5,2488,1327.5,1678,1217.5,884.5,435,681.5,1495.5,1228.5,1313,652
Smad2 (Ab-255),6477,8162.5,7747.5,6979.5,5170,3756.5,4491,2289.5,2319.5,2289,3101,5861.5,3160,6198.5,2847,2936,1668.5,4035,4316.5,4059.5,4034,2481.5
Smad2 (Ab-250),984.5,1082.5,1531,1026.5,1305,835,1315.5,559.5,543,916.5,1008.5,2463,1037,1905.5,1192.5,719,524.5,632,1442.5,1081,1126,509
Smad2 (Ab-245),827,969,1196,936,990.5,907,851,469.5,465,717.5,730,1610.5,846.5,1485.5,963,610,323.5,469,1193.5,862.5,857,421.5
Smad2 (Ab-220),2113.5,2323.5,2398,2355.5,2235.5,1769.5,1775.5,1284,1102,1289.5,1652,2176.5,1903,2389.5,1606.5,1429.5,923,1614,1815,2007,2249,977.5
Smad2/3 (Ab-8),1855,2311,2857.5,2390,2135.5,1704.5,2086.5,1536.5,1554.5,1391.5,1694.5,3077,2056,3079,2204,2034,1195,1697,2369.5,2149.5,2269,1379
Smad3 (Ab-179),3058.5,4995,4810,4576.5,3998.5,2659.5,2324,1276.5,1615,1510,1599,3091.5,1646.5,3243,1614,1670,855,1826,2255,2136,1958,1130.5
Smad3 (Ab-204),2089.5,2458.5,2211.5,1255.5,1741.5,1748.5,1248.5,1119,1271.5,1316.5,1419.5,2006,1471,2086,1680,935,918,1152.5,1276.5,1860,1319,825
Smad3 (Ab-213),738,828.5,1073,807,1015.5,693,888.5,478.5,469,788,740.5,1543,875.5,1350,926.5,816,345.5,477,1131,863.5,919,421.5
Calsenilin/KCNIP3 (Ab-63),1505,1711,2030,1607,1782,1226.5,1477.5,1001,1032.5,1207.5,1341.5,2021,1197,1872,1638.5,1484.5,767,1053,1816.5,1645.5,1420,958
Epo-R (Ab-368),751.5,798.5,1421.5,1022.5,1179.5,852.5,1142.5,695.5,624,724.5,919,1707,989,1135,1241,957.5,577,665.5,1274.5,1068,1002.5,618.5
Interferon-alpha/beta receptor alpha chain (Ab-466),2512.5,2432.5,3199,2795,2728,1888,2256,1777,1680.5,1639,1982,3270.5,1935,2559,2106.5,1922.5,1329,1769,2239.5,2118.5,2290.5,1836
IL-2RA/CD25 (Ab-268),785,822,1321,951.5,1159,832.5,1108.5,614.5,622,756,992.5,2214,983.5,1354.5,1145.5,821.5,461,570.5,1252.5,1072.5,1015.5,832.5
WEE1 (Phospho-Ser53),535.5,544.5,937.5,608,810.5,508,703.5,395,397,521,605.5,1558.5,857,903,969,603.5,269,407.5,915.5,671.5,738,424.5
MKK4/SEK1 (Ab-257),1213.5,1562.5,1924.5,1358,1372.5,927.5,1408.5,669,651,841,1146,2463,1223.5,1467,1324,896,463.5,691.5,1609,1223.5,1214,621
ATP1A1/Na+K+ ATPase1 (Ab-23),3407.5,2927.5,3601.5,3274,3037.5,1909.5,2743.5,1896.5,1315,2051.5,2707,3484,3158.5,3091.5,2250.5,2141,1833.5,1916,1877,1808,3393.5,1968
CK1-A (Ab-321),838.5,894,1449,966,1233.5,807.5,1415.5,617.5,584,851,962,2135,1239,1410.5,1179.5,781,415.5,595.5,1396,1115,1010.5,587.5
HSP90B (Ab-226),977.5,1210.5,1730.5,1285.5,1587,1012,1373.5,816,768,1001,1168,1983.5,1595.5,1722,1292.5,893,643,831.5,1450.5,1207.5,1612.5,708.5
Merlin (Ab-10),9019,16817.5,10035,4229.5,10493.5,4717,3650,5477.5,3514.5,4152,8187.5,11595.5,13732,8286,1942,9081,471,3696.5,12061,7347.5,14907,7957
MAP3K7/TAK1 (Ab-187),789,855.5,1375.5,888.5,1229,720.5,1216,538,527,814.5,950.5,1871.5,939,1479,1141.5,701,414,558.5,1267,1036,1053,1535.5
MAP3K7/TAK1 (Ab-439),1473.5,1255.5,1799.5,1257.5,1707.5,1330.5,1405,949.5,877.5,1149.5,1660,1536.5,1569,1484,1476,1152.5,1374,973,1812,1433.5,1342,915
MAP3K8/COT (Ab-400),1016,1111,1652,1190.5,1455.5,1075.5,1354.5,763.5,724,937.5,1061,1893.5,1081.5,1673.5,1354,865.5,901.5,812,1597.5,1295,1380.5,676
MYT1 (Ab-83),1840.5,2216,2456,1781.5,2291,1825.5,1662.5,1030,999.5,1422.5,1411.5,2345.5,1546.5,2644.5,1572.5,1228,737,1202,2127,1466.5,1789,904
WEE1 (Ab-53),1273,1350.5,1763,1277,1715,1762.5,1221.5,742,693.5,985.5,1135.5,2075,995,2006,1219.5,940,530,758.5,1524.5,1187,1300.5,578.5
EPB41 (Ab-418/660),893.5,1124,1427.5,1084.5,1582.5,871.5,1090.5,687,694,1013,983,1905.5,1025.5,1904.5,1233,837.5,517,783,1262.5,1269,1186.5,616.5
Mnk1 (Ab-385),1299,1471.5,1791,1427,1659,1155.5,1348,905,789.5,1166.5,1184.5,1962.5,1259.5,2245,1511,1001,688.5,898.5,1564.5,1415.5,1507.5,784
RAD51 (Ab-309),1461,1423,1550,1412.5,1659.5,1324.5,1404.5,1030.5,987.5,1228,1208.5,2194,1364.5,2156.5,1887.5,1062.5,869.5,1089,1606.5,1554,1555,783
TIF-IA (Ab-649),1040,1042,1355,1043.5,1357,859.5,1093.5,629,697.5,913,992.5,1498,859.5,1621,1123,1034,510.5,638.5,1191,1169.5,1131,575
Lamin A (Ab-22),573,540.5,1017,675.5,967.5,553.5,757.5,426.5,443.5,568.5,606,981.5,607,984,909.5,657.5,347,473,903.5,729,708.5,398.5
p53 (Phospho-Thr18),1575,1745,2124,1960.5,1886.5,1482.5,1742.5,1623.5,1368,1260.5,1642,2379,2073.5,2045,2240,1932.5,1687.5,1642,1902,2062,2143.5,1285
