,GeneID,symbol
PP2A-alpha (Ab-307),5515,PPP2CA
14-3-3 beta/zeta (Ab-184/186),7534/7529,YWHAZ/YWHAB
Catenin beta (Ab-489),1499,CTNNB1
CDC25A (Ab-178),993,CDC25A
CREB (Ab-100),1385,CREB1
EGFR (Ab-998),1956,EGFR
Ezrin (Ab-478),7430,EZR
HER2 (Ab-1112),2064,ERBB2
NFkB-p65 (Ab-281),5970,RELA
p53 (Ab-387),7157,TP53
p53 (Ab-376),7157,TP53
p53 (Ab-378),7157,TP53
Rb (Ab-608),5925,RB1
SRF (Ab-77),6722,SRF
Abl1 (Ab-754/735),25,ABL1
AKT1/2/3 (Ab-315),207,AKT1
B-RAF (Ab-446),673,BRAF
CaMK2-beta/gamma/delta (Ab-287),816/818/817,CAMK2B/CAMK2G/CAMK2D
LKB1 (Ab-334),6794,STK11
MKK3/MAP2K3 (Ab-222),5606,MAP2K3
M-CSF Receptor (Ab-809),1436,CSF1R
NMDAR2B (Ab-1472),2904,GRIN2B
PECAM-1 (Ab-713),5175,PECAM1
ALK (Ab-1507),238,ALK
ALK (Ab-1604),238,ALK
BLNK (Ab-96),29760,BLNK
ETK (Ab-40),660,BMX
Pim-1 (Ab-309),18712,Pim1
PLD1 (Ab-561),5337,PLD1
BCR (Ab-360),613,BCR
ETK (Ab-566),660,BMX
CD5 (Ab-453),921,CD5
M-CSF Receptor (Ab-561),1436,CSF1R
DAPP1 (Ab-139),27071,DAPP1
DDX5/DEAD-box protein 5 (Ab-593),1655,DDX5
Raf1 (Phospho-Ser289),5894,RAF1
VEGFR2 (Ab-1054),3791,KDR
Vinculin (Ab-821),7414,VCL
HRS (Ab-334),9146,HGS
LCK (Phospho-Tyr393),3932,LCK
MKK3/MAP2K3 (Phospho-Ser189),5606,MAP2K3
Chk2 (Phospho-Ser516),11200,CHEK2
TYK2 (Phospho-Tyr1054),7297,TYK2
JAK1 (Phospho-Tyr1022),3716,JAK1
JAK2 (Phospho-Tyr221),3717,JAK2
JAK2 (Phospho-Tyr1007),3717,JAK2
IkB-alpha (Phospho-Ser32/36),4792,NFKBIA
Src (Phospho-Tyr529),6714,SRC
eNOS (Phospho-Ser1177),4846,NOS3
FKHRL1/FOXO3A (Phospho-Ser253),2309,FOXO3
VASP (Phospho-Ser238),7408,VASP
Zap-70 (Phospho-Tyr319),7535,ZAP70
Zap-70 (Phospho-Tyr493),7535,ZAP70
MEK1 (Phospho-Ser221),5604,MAP2K1
IkB-alpha (Phospho-Tyr42),4792,NFKBIA
STAT1 (Phospho-Ser727),6772,STAT1
AMPK1/AMPK2 (Phospho-Ser485/491),5562/5563,PRKAA1/PRKAA2
MKK4/SEK1 (Phospho-Thr261),6416,MAP2K4
eEF2K (Phospho-Ser366),29904,EEF2K
Filamin A (Phospho-Ser2152),2316,FLNA
c-Jun (Ab-63),3725,JUN
GSK3 beta (Ab-9),2932,GSK3B
FLT3 (Phospho-Tyr599),2322,FLT3
Elk1 (Ab-383),2002,ELK1
PDK1 (Ab-241),5170,PDPK1
Raf1 (Ab-259),5894,RAF1
GSK3 alpha (Ab-21),2931,GSK3A
MEK2 (Ab-394),5605,MAP2K2
PTEN (Ab-380),5728,PTEN
NFkB-p65 (Ab-254),5970,RELA
NFkB-p65 (Ab-276),5970,RELA
NFkB-p65 (Ab-435),5970,RELA
NFkB-p65 (Ab-468),5970,RELA
NFkB-p65 (Ab-536),5970,RELA
NFkB-p100/p52 (Ab-865),4791,NFKB2
NFkB-p100/p52 (Ab-869),4791,NFKB2
NFkB-p105/p50 (Ab-337),4790,NFKB1
LCK (Ab-393),3932,LCK
Src (Ab-529),6714,SRC
eNOS (Ab-1177),4846,NOS3
FKHRL1/FOXO3A (Ab-253),2309,FOXO3
VASP (Ab-238),7408,VASP
Zap-70 (Ab-319),7535,ZAP70
Zap-70 (Ab-493),7535,ZAP70
MEK1 (Ab-221),5604,MAP2K1
IkB-alpha (Ab-42),4792,NFKBIA
STAT1 (Ab-727),6772,STAT1
SMC1 (Ab-957),8243,SMC1A
BCR (Ab-177),613,BCR
MSK1 (Ab-376),9252,RPS6KA5
Paxillin (Ab-31),5829,PXN
Ezrin (Ab-566),7430,EZR
Rac1/cdc42 (Ab-71),5879,RAC1
Raf1 (Ab-338),5894,RAF1
MEK1 (Ab-217),5604,MAP2K1
VASP (Ab-157),7408,VASP
Cyclin B1 (Phospho-Ser126),891,CCNB1
EEF2 (Phospho-Thr56),1938,EEF2
HSL (Phospho-Ser554),3991,LIPE
Pyk2 (Phospho-Tyr881),2185,PTK2B
SRF (Phospho-Ser99),6722,SRF
STAT2 (Phospho-Tyr690),6773,STAT2
SYK (Phospho-Tyr525),6850,SYK
4E-BP1 (Phospho-Ser65),1978,EIF4EBP1
4E-BP1 (Phospho-Thr70),1978,EIF4EBP1
Abl1 (Phospho-Tyr412),25,ABL1
Abl1 (Phospho-Tyr204),25,ABL1
ACC1 (Phospho-Ser79),31,ACACA
AKT1 (Phospho-Thr450),207,AKT1
AKT1 (Phospho-Ser124),207,AKT1
AMPK beta1 (Phospho-Ser182),5564,PRKAB1
Chk2 (Phospho-Thr387),11200,CHEK2
Cyclin D1 (Phospho-Thr286),595,CCND1
Cyclin D3 (Phospho-Thr283),896,CCND3
DAXX (Phospho-Ser668),1616,DAXX
CD4 (Phospho-Ser433),920,CD4
CD45 (Phospho-Ser1007),5788,PTPRC
CDC25A (Phospho-Ser124),993,CDC25A
CDC25B (Phospho-Ser353),994,CDC25B
CDK7 (Phospho-Thr170),1022,CDK7
Chk1 (Phospho-Ser286),1111,CHEK1
Chk1 (Phospho-Ser301),1111,CHEK1
Met (Phospho-Tyr1003),4233,MET
Coagulation Factor III (Phospho-Ser290),2152,F3
CXCR4 (Phospho-Ser339),7852,CXCR4
Keratin 18 (Phospho-Ser52),3875,KRT18
Keratin 8 (Phospho-Ser431),3856,KRT8
Catenin delta-1 (Phospho-Tyr228),1500,CTNND1
Raf1 (Phospho-Ser43),5894,RAF1
DNA-PK (Phospho-Thr2647),5591,PRKDC
DNA-PK (Phospho-Thr2638),5591,PRKDC
EGFR (Phospho-Tyr1069),1956,EGFR
ERK3 (Phospho-Ser189),5597,MAPK6
ERK8 (Phospho-Thr175/Tyr177),225689,MAPK15
Lamin A (Phospho-Ser22),4000,LMNA
AurB (Phospho-Thr232),9212,AURKB
AurB (Phospho-Tyr12),9212,AURKB
AurA (Phospho-Thr288),6790,AURKA
Integrin beta-1 (Phospho-Thr788),3688,ITGB1
PDGFR beta (Phospho-Tyr740),5159,PDGFRB
PDGFR beta (Phospho-Tyr1021),5159,PDGFRB
PDGFR alpha (Phospho-Tyr849),5156,PDGFRA
FADD (Phospho-Ser194),8772,FADD
Survivin (Phospho-Thr117),332,BIRC5
TOP2A/DNA topoisomerase II (Phospho-Ser1106),7153,TOP2A
BTK (Phospho-Tyr550),695,BTK
IL3RB (Phospho-Tyr593),3563,IL3RA
IR (Phospho-Tyr1355),3643,INSR
IR (Phospho-Tyr1361),3643,INSR
KIT (Phospho-Tyr936),3815,KIT
KIT (Phospho-Tyr703),3815,KIT
M-CSF Receptor (Phospho-Tyr809),1436,CSF1R
Met (Phospho-Tyr1356),4233,MET
Raf1 (Ab-341),5894,RAF1
Raf1 (Ab-621),5894,RAF1
RhoA (Ab-188),387,RHOA
RyR2 (Ab-2808),6262,RYR2
Synapsin (Ab-62),6853,SYN1
Trk A (Ab-496),4914,NTRK1
Tuberin/TSC2 (Ab-939),7249,TSC2
Tuberin/TSC2 (Ab-1462),7249,TSC2
Tyrosine Hydroxylase (Ab-8),7054,TH
VAV1 (Ab-160),7409,VAV1
VEGFR1 (Ab-1333),2321,FLT1
VEGFR2 (Ab-1059),3791,KDR
WASP (Ab-290),7454,WAS
Zap-70 (Ab-292),7535,ZAP70
AKT1 (Ab-474),207,AKT1
AKT1 (Ab-246),207,AKT1
PLK1 (Phospho-Thr210),5347,PLK1
AKT1 (Ab-72),207,AKT1
CD32 (FcgammaRIIb)(Ab-292),2213,FCGR2B
MKK7/MAP2K7 (Ab-271),5609,MAP2K7
P70S6K (Ab-427),6198,RPS6KB1
P70S6K-beta (Ab-423),6199,RPS6KB2
PAK1 (Ab-204),5058,PAK1
PAK2 (Ab-192),5062,PAK2
PAK2 (Ab-197),5062,PAK2
PAK3 (Ab-154),5063,PAK3
PKC beta/PKCB (Ab-661),5579,PRKCB
Raf1 (Ab-289),5894,RAF1
RSK1/2/3/4 (Ab-221/227/218/232),6195/6197/6196/27330,RPS6KA1/RPS6KA3/RPS6KA2/RPS6KA6
Src (Ab-75),6714,SRC
LAT (Ab-161),27040,LAT
SLP-76 (Ab-128),3937,LCP2
LCK (Ab-59),3932,LCK
Fos (Ab-232),2353,FOS
Gab2 (Ab-159),9846,GAB2
BCL-6 (Ab-333),604,BCL6
BRCA1 (Ab-1457),672,BRCA1
Cyclin D2 (Ab-280),894,CCND2
IL-10R-alpha (Ab-496),3587,IL10RA
IL-13R/CD213a1 (Ab-405),3597,IL13RA1
IL-4R/CD124 (Ab-497),3566,IL4R
Integrin beta-4 (Ab-1510),3691,ITGB4
Kv1.3/KCNA3 (Ab-135),3738,KCNA3
CDK5 (Ab-15),1020,CDK5
STAM2 (Ab-192),10254,STAM2
FER (Ab-402),2241,FER
Claudin 3 (Ab-219),1365,CLDN3
Claudin 7 (Ab-210),1366,CLDN7
